# LAMMPS data file written by OVITO Basic 3.14.1

22380 atoms
5 atom types

#85.992 0.0 0.0 avec
#0.0 78.826 0.0 bvec
#0.0 0.0 107.49 cvec
#0.0 0.0 -42.996 abc origin

#Range of coordinates obtained from OVITO
0.0 85.992 xlo xhi
0.0 78.826 ylo yhi
-42.996 64.494 zlo zhi

Masses

1 28.085  # Si
2 15.999  # O
3 28.085  # Si
4 15.999  # O
5 1.008  # H

#Pair Coeffs # lj/charmm/coul/long

#1 0 0 0 0
#2 0.367591 2.708 0.367591 2.708
#3 0.118069 3.905 0.118069 3.905
#4 0.238528 3.07 0.238528 3.07
#5 0 0 0 0


Atoms  # atomic

479 2 7.5751649365 15.2352210402 -42.1078150171 0 0 0
481 2 8.0630881063 15.0332898295 -34.9324083058 0 0 0
550 2 6.4505169958 17.0112137011 -38.5173301895 0 0 0
586 2 2.210655775 11.6443292464 -36.7225454622 0 0 0
684 2 4.4710769702 13.4522963592 -40.3097841213 0 0 0
685 2 4.4732181603 13.2178143985 -33.1490743187 0 0 0
727 2 2.694399723 13.0167811462 -38.5166386566 0 0 0
892 2 4.4774569356 16.888626907 -36.7229415705 0 0 0
901 2 4.4873030609 9.6576441539 -36.7344391284 0 0 0
904 2 0.8971645825 12.129056627 -38.5094163397 0 0 0
1022 2 6.2680687658 13.6619836255 -42.096547905 0 0 0
1024 2 6.2714518959 13.4224279878 -34.9339847918 0 0 0
1062 2 2.4532638485 15.2278841599 -40.3087309317 0 0 0
1063 2 2.6811200567 14.8783785992 -33.1412215935 0 0 0
1130 2 2.6820982707 16.8419241841 -42.1069012952 0 0 0
1132 2 2.6805627186 16.8654339683 -34.93052569 0 0 0
1145 2 2.6919967456 9.7726557332 -42.0975213583 0 0 0
1147 2 2.6838686877 10.1434129856 -34.9320721672 0 0 0
1228 2 6.00979832 15.2216670483 -36.7250263 0 0 0
1294 2 4.4815419065 15.0922077497 -38.5109444634 0 0 0
1306 2 0.8967551125 13.3784318144 -36.7282239648 0 0 0
1368 2 0.8973401463 17.4201759595 -40.3048680718 0 0 0
1369 2 0.9755278198 17.020696586 -33.1412208287 0 0 0
1383 2 0.9039530814 9.8110809524 -40.3084976759 0 0 0
1384 2 0.8936936391 9.5410227317 -33.1515762434 0 0 0
1428 2 8.2676579477 17.0130835876 -40.3170694071 0 0 0
1429 2 8.1683250058 17.0107644063 -33.1468834524 0 0 0
1493 2 4.4773186808 11.644773751 -42.1043568128 0 0 0
1495 2 4.472736608 11.7218419771 -34.9416938546 0 0 0
1633 3 8.2762606886 14.0657226721 -35.4934182026 0 0 0
1651 3 5.9610898296 12.1052728485 -34.2047653921 0 0 0
1673 3 6.2867369819 11.4138946777 -42.2793781498 0 0 0
1859 4 7.4267388736 13.7432306853 -36.8705806062 0 0 0
1882 4 7.1229601702 12.0816569936 -33.0330462693 0 0 0
1889 4 5.6951732776 9.7191643968 -38.8381477313 0 0 0
1911 4 6.6257596761 11.8968607448 -40.7378502009 0 0 0
2143 5 4.9568163072 10.2733458776 -39.0154655046 0 0 0
2165 5 6.5149320972 12.8130509379 -40.5584806831 0 0 0
2113 5 7.4734175712 12.858261173 -37.1843290312 0 0 0
2136 5 7.0592919525 11.3850292154 -32.4048299138 0 0 0
115 1 3.1064415083 10.7541643087 -42.9949891356 0 0 0
1648 3 8.6028545475 15.0804000919 -40.4425170482 0 0 0
490 2 13.2179050775 17.0219484159 -38.5219839494 0 0 0
832 2 11.6383966249 17.4211864601 -36.7297686682 0 0 0
1166 2 9.5753326876 17.0253201266 -42.1035527921 0 0 0
1168 2 9.8613870458 17.0731277494 -34.9308186028 0 0 0
1513 2 17.0273766321 17.0313261842 -38.512462011 0 0 0
