# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 33 1089
205000 45 2025
210000 39 1521
215000 41 1681
220000 37 1369
225000 33 1089
230000 36 1296
235000 29 841
240000 28 784
245000 33 1089
250000 30 900
255000 38 1444
260000 43 1849
265000 40 1600
270000 34 1156
275000 28 784
280000 32 1024
285000 38 1444
290000 31 961
295000 36 1296
300000 34 1156
305000 35 1225
310000 46 2116
315000 36 1296
320000 37 1369
325000 42 1764
330000 36 1296
335000 38 1444
340000 37 1369
345000 30 900
350000 39 1521
355000 34 1156
360000 42 1764
365000 37 1369
370000 38 1444
375000 42 1764
380000 39 1521
385000 36 1296
390000 35 1225
395000 31 961
400000 31 961
405000 33 1089
410000 33 1089
415000 33 1089
420000 31 961
425000 39 1521
430000 36 1296
435000 33 1089
440000 34 1156
445000 39 1521
450000 42 1764
455000 40 1600
460000 37 1369
465000 37 1369
470000 42 1764
475000 36 1296
480000 40 1600
485000 38 1444
490000 44 1936
495000 32 1024
500000 34 1156
505000 25 625
510000 31 961
515000 37 1369
520000 36 1296
525000 31 961
530000 33 1089
535000 31 961
540000 34 1156
545000 32 1024
550000 33 1089
555000 40 1600
560000 34 1156
565000 39 1521
570000 34 1156
575000 39 1521
580000 31 961
585000 39 1521
590000 41 1681
595000 37 1369
600000 35 1225
605000 29 841
610000 39 1521
615000 36 1296
620000 34 1156
625000 33 1089
630000 34 1156
635000 32 1024
640000 35 1225
645000 41 1681
650000 34 1156
655000 39 1521
660000 31 961
665000 34 1156
670000 33 1089
675000 39 1521
680000 42 1764
685000 30 900
690000 41 1681
695000 40 1600
700000 39 1521
705000 38 1444
710000 38 1444
715000 31 961
720000 30 900
725000 39 1521
730000 32 1024
735000 40 1600
740000 34 1156
745000 37 1369
750000 36 1296
755000 33 1089
760000 34 1156
765000 36 1296
770000 39 1521
775000 40 1600
780000 36 1296
785000 40 1600
790000 39 1521
795000 42 1764
800000 40 1600
805000 37 1369
810000 37 1369
815000 39 1521
820000 37 1369
825000 40 1600
830000 31 961
835000 36 1296
840000 33 1089
845000 31 961
850000 31 961
855000 28 784
860000 30 900
865000 28 784
870000 33 1089
875000 38 1444
880000 35 1225
885000 39 1521
890000 41 1681
895000 32 1024
900000 39 1521
905000 42 1764
910000 40 1600
915000 38 1444
920000 34 1156
925000 31 961
930000 32 1024
935000 25 625
940000 35 1225
945000 40 1600
950000 36 1296
955000 37 1369
960000 34 1156
965000 42 1764
970000 38 1444
975000 34 1156
980000 41 1681
985000 37 1369
990000 32 1024
995000 40 1600
1000000 34 1156
