# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 16 256
205000 11 121
210000 15 225
215000 10 100
220000 11 121
225000 10 100
230000 11 121
235000 16 256
240000 14 196
245000 12 144
250000 15 225
255000 14 196
260000 15 225
265000 14 196
270000 15 225
275000 12 144
280000 11 121
285000 16 256
290000 18 324
295000 16 256
300000 14 196
305000 17 289
310000 12 144
315000 14 196
320000 10 100
325000 13 169
330000 13 169
335000 15 225
340000 18 324
345000 16 256
350000 16 256
355000 10 100
360000 15 225
365000 18 324
370000 15 225
375000 12 144
380000 12 144
385000 17 289
390000 16 256
395000 14 196
400000 14 196
405000 18 324
410000 12 144
415000 16 256
420000 16 256
425000 20 400
430000 16 256
435000 18 324
440000 18 324
445000 16 256
450000 14 196
455000 12 144
460000 11 121
465000 19 361
470000 13 169
475000 15 225
480000 13 169
485000 12 144
490000 14 196
495000 10 100
500000 15 225
505000 14 196
510000 16 256
515000 14 196
520000 15 225
525000 11 121
530000 10 100
535000 12 144
540000 11 121
545000 10 100
550000 10 100
555000 16 256
560000 15 225
565000 18 324
570000 14 196
575000 12 144
580000 10 100
585000 14 196
590000 16 256
595000 12 144
600000 13 169
605000 11 121
610000 12 144
615000 10 100
620000 10 100
625000 13 169
630000 14 196
635000 11 121
640000 12 144
645000 14 196
650000 12 144
655000 9 81
660000 11 121
665000 14 196
670000 13 169
675000 12 144
680000 18 324
685000 13 169
690000 9 81
695000 16 256
700000 12 144
705000 16 256
710000 9 81
715000 12 144
720000 14 196
725000 14 196
730000 12 144
735000 11 121
740000 13 169
745000 11 121
750000 18 324
755000 7 49
760000 13 169
765000 11 121
770000 10 100
775000 11 121
780000 14 196
785000 12 144
790000 18 324
795000 16 256
800000 15 225
805000 12 144
810000 17 289
815000 16 256
820000 13 169
825000 16 256
830000 12 144
835000 11 121
840000 9 81
845000 16 256
850000 12 144
855000 14 196
860000 15 225
865000 11 121
870000 7 49
875000 10 100
880000 10 100
885000 11 121
890000 18 324
895000 18 324
900000 15 225
905000 14 196
910000 13 169
915000 14 196
920000 16 256
925000 18 324
930000 13 169
935000 11 121
940000 12 144
945000 10 100
950000 15 225
955000 11 121
960000 14 196
965000 15 225
970000 12 144
975000 14 196
980000 12 144
985000 13 169
990000 9 81
995000 17 289
1000000 9 81
