# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 107 11449
205000 96 9216
210000 108 11664
215000 114 12996
220000 110 12100
225000 99 9801
230000 106 11236
235000 109 11881
240000 114 12996
245000 115 13225
250000 93 8649
255000 108 11664
260000 117 13689
265000 108 11664
270000 89 7921
275000 98 9604
280000 102 10404
285000 114 12996
290000 100 10000
295000 136 18496
300000 112 12544
305000 106 11236
310000 105 11025
315000 112 12544
320000 110 12100
325000 104 10816
330000 105 11025
335000 116 13456
340000 123 15129
345000 116 13456
350000 112 12544
355000 102 10404
360000 107 11449
365000 111 12321
370000 97 9409
375000 88 7744
380000 91 8281
385000 95 9025
390000 121 14641
395000 117 13689
400000 113 12769
405000 120 14400
410000 111 12321
415000 106 11236
420000 125 15625
425000 114 12996
430000 102 10404
435000 114 12996
440000 114 12996
445000 110 12100
450000 115 13225
455000 106 11236
460000 105 11025
465000 101 10201
470000 107 11449
475000 106 11236
480000 95 9025
485000 113 12769
490000 107 11449
495000 113 12769
500000 99 9801
505000 106 11236
510000 106 11236
515000 96 9216
520000 109 11881
525000 106 11236
530000 113 12769
535000 108 11664
540000 103 10609
545000 117 13689
550000 105 11025
555000 111 12321
560000 103 10609
565000 104 10816
570000 98 9604
575000 107 11449
580000 118 13924
585000 117 13689
590000 105 11025
595000 109 11881
600000 101 10201
605000 120 14400
610000 100 10000
615000 105 11025
620000 110 12100
625000 112 12544
630000 110 12100
635000 104 10816
640000 99 9801
645000 100 10000
650000 106 11236
655000 105 11025
660000 110 12100
665000 97 9409
670000 107 11449
675000 107 11449
680000 87 7569
685000 93 8649
690000 105 11025
695000 92 8464
700000 106 11236
705000 101 10201
710000 105 11025
715000 100 10000
720000 96 9216
725000 106 11236
730000 114 12996
735000 112 12544
740000 120 14400
745000 104 10816
750000 111 12321
755000 106 11236
760000 122 14884
765000 123 15129
770000 119 14161
775000 112 12544
780000 125 15625
785000 112 12544
790000 119 14161
795000 117 13689
800000 112 12544
805000 100 10000
810000 108 11664
815000 102 10404
820000 112 12544
825000 93 8649
830000 114 12996
835000 101 10201
840000 100 10000
845000 101 10201
850000 109 11881
855000 102 10404
860000 110 12100
865000 103 10609
870000 109 11881
875000 114 12996
880000 101 10201
885000 119 14161
890000 102 10404
895000 108 11664
900000 105 11025
905000 115 13225
910000 117 13689
915000 105 11025
920000 118 13924
925000 122 14884
930000 121 14641
935000 117 13689
940000 117 13689
945000 109 11881
950000 105 11025
955000 101 10201
960000 110 12100
965000 113 12769
970000 107 11449
975000 105 11025
980000 124 15376
985000 122 14884
990000 114 12996
995000 102 10404
1000000 97 9409
