# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 98 9604
205000 108 11664
210000 107 11449
215000 100 10000
220000 108 11664
225000 99 9801
230000 108 11664
235000 103 10609
240000 88 7744
245000 90 8100
250000 89 7921
255000 89 7921
260000 84 7056
265000 92 8464
270000 109 11881
275000 100 10000
280000 96 9216
285000 94 8836
290000 96 9216
295000 102 10404
300000 107 11449
305000 105 11025
310000 103 10609
315000 108 11664
320000 102 10404
325000 99 9801
330000 109 11881
335000 105 11025
340000 111 12321
345000 94 8836
350000 101 10201
355000 98 9604
360000 87 7569
365000 84 7056
370000 105 11025
375000 111 12321
380000 105 11025
385000 108 11664
390000 102 10404
395000 104 10816
400000 119 14161
405000 106 11236
410000 105 11025
415000 94 8836
420000 103 10609
425000 102 10404
430000 96 9216
435000 113 12769
440000 107 11449
445000 92 8464
450000 101 10201
455000 105 11025
460000 110 12100
465000 102 10404
470000 97 9409
475000 114 12996
480000 102 10404
485000 98 9604
490000 100 10000
495000 104 10816
500000 109 11881
505000 95 9025
510000 101 10201
515000 93 8649
520000 102 10404
525000 106 11236
530000 105 11025
535000 98 9604
540000 106 11236
545000 105 11025
550000 116 13456
555000 117 13689
560000 126 15876
565000 108 11664
570000 96 9216
575000 110 12100
580000 107 11449
585000 97 9409
590000 91 8281
595000 114 12996
600000 106 11236
605000 94 8836
610000 94 8836
615000 95 9025
620000 93 8649
625000 100 10000
630000 110 12100
635000 110 12100
640000 104 10816
645000 109 11881
650000 117 13689
655000 102 10404
660000 103 10609
665000 94 8836
670000 107 11449
675000 101 10201
680000 106 11236
685000 107 11449
690000 93 8649
695000 109 11881
700000 109 11881
705000 99 9801
710000 105 11025
715000 103 10609
720000 103 10609
725000 102 10404
730000 108 11664
735000 118 13924
740000 107 11449
745000 107 11449
750000 101 10201
755000 95 9025
760000 94 8836
765000 102 10404
770000 90 8100
775000 100 10000
780000 92 8464
785000 106 11236
790000 94 8836
795000 111 12321
800000 110 12100
805000 108 11664
810000 97 9409
815000 106 11236
820000 94 8836
825000 106 11236
830000 106 11236
835000 110 12100
840000 114 12996
845000 109 11881
850000 125 15625
855000 113 12769
860000 93 8649
865000 97 9409
870000 121 14641
875000 115 13225
880000 111 12321
885000 113 12769
890000 105 11025
895000 101 10201
900000 109 11881
905000 109 11881
910000 107 11449
915000 103 10609
920000 99 9801
925000 109 11881
930000 96 9216
935000 101 10201
940000 94 8836
945000 83 6889
950000 109 11881
955000 93 8649
960000 103 10609
965000 106 11236
970000 93 8649
975000 96 9216
980000 107 11449
985000 107 11449
990000 106 11236
995000 106 11236
1000000 114 12996
