# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 597 356409
205000 603 363609
210000 584 341056
215000 584 341056
220000 580 336400
225000 583 339889
230000 573 328329
235000 572 327184
240000 566 320356
245000 574 329476
250000 578 334084
255000 568 322624
260000 581 337561
265000 592 350464
270000 555 308025
275000 559 312481
280000 556 309136
285000 562 315844
290000 568 322624
295000 567 321489
300000 555 308025
305000 567 321489
310000 567 321489
315000 575 330625
320000 547 299209
325000 552 304704
330000 570 324900
335000 546 298116
340000 554 306916
345000 550 302500
350000 545 297025
355000 537 288369
360000 539 290521
365000 550 302500
370000 544 295936
375000 542 293764
380000 559 312481
385000 559 312481
390000 559 312481
395000 574 329476
400000 589 346921
405000 585 342225
410000 587 344569
415000 572 327184
420000 565 319225
425000 565 319225
430000 575 330625
435000 586 343396
440000 593 351649
445000 573 328329
450000 571 326041
455000 568 322624
460000 576 331776
465000 582 338724
470000 594 352836
475000 599 358801
480000 600 360000
485000 596 355216
490000 588 345744
495000 597 356409
500000 593 351649
505000 597 356409
510000 577 332929
515000 567 321489
520000 542 293764
525000 554 306916
530000 563 316969
535000 575 330625
540000 569 323761
545000 578 334084
550000 548 300304
555000 557 310249
560000 557 310249
565000 550 302500
570000 566 320356
575000 561 314721
580000 579 335241
585000 560 313600
590000 556 309136
595000 558 311364
600000 556 309136
605000 559 312481
610000 559 312481
615000 562 315844
620000 562 315844
625000 548 300304
630000 547 299209
635000 529 279841
640000 538 289444
645000 547 299209
650000 548 300304
655000 555 308025
660000 549 301401
665000 564 318096
670000 553 305809
675000 552 304704
680000 572 327184
685000 575 330625
690000 577 332929
695000 561 314721
700000 587 344569
705000 573 328329
710000 569 323761
715000 553 305809
720000 561 314721
725000 549 301401
730000 562 315844
735000 551 303601
740000 585 342225
745000 578 334084
750000 559 312481
755000 576 331776
760000 593 351649
765000 585 342225
770000 581 337561
775000 566 320356
780000 566 320356
785000 552 304704
790000 544 295936
795000 558 311364
800000 563 316969
805000 554 306916
810000 572 327184
815000 577 332929
820000 555 308025
825000 549 301401
830000 562 315844
835000 568 322624
840000 554 306916
845000 563 316969
850000 571 326041
855000 569 323761
860000 573 328329
865000 573 328329
870000 590 348100
875000 597 356409
880000 573 328329
885000 562 315844
890000 555 308025
895000 573 328329
900000 588 345744
905000 567 321489
910000 565 319225
915000 569 323761
920000 559 312481
925000 567 321489
930000 569 323761
935000 560 313600
940000 537 288369
945000 541 292681
950000 575 330625
955000 561 314721
960000 568 322624
965000 592 350464
970000 592 350464
975000 584 341056
980000 584 341056
985000 570 324900
990000 578 334084
995000 590 348100
1000000 564 318096
