# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 842 708964
205000 852 725904
210000 860 739600
215000 855 731025
220000 874 763876
225000 870 756900
230000 867 751689
235000 857 734449
240000 851 724201
245000 854 729316
250000 856 732736
255000 839 703921
260000 836 698896
265000 868 753424
270000 880 774400
275000 836 698896
280000 829 687241
285000 851 724201
290000 865 748225
295000 852 725904
300000 872 760384
305000 871 758641
310000 874 763876
315000 868 753424
320000 860 739600
325000 849 720801
330000 841 707281
335000 863 744769
340000 866 749956
345000 865 748225
350000 861 741321
355000 836 698896
360000 843 710649
365000 858 736164
370000 864 746496
375000 878 770884
380000 903 815409
385000 904 817216
390000 917 840889
395000 898 806404
400000 884 781456
405000 875 765625
410000 889 790321
415000 885 783225
420000 904 817216
425000 879 772641
430000 884 781456
435000 868 753424
440000 872 760384
445000 889 790321
450000 910 828100
455000 887 786769
460000 876 767376
465000 866 749956
470000 886 784996
475000 885 783225
480000 885 783225
485000 874 763876
490000 884 781456
495000 882 777924
500000 891 793881
505000 905 819025
510000 910 828100
515000 881 776161
520000 883 779689
525000 875 765625
530000 867 751689
535000 863 744769
540000 877 769129
545000 878 770884
550000 871 758641
555000 888 788544
560000 901 811801
565000 899 808201
570000 884 781456
575000 897 804609
580000 894 799236
585000 890 792100
590000 877 769129
595000 891 793881
600000 867 751689
605000 886 784996
610000 870 756900
615000 862 743044
620000 871 758641
625000 897 804609
630000 865 748225
635000 873 762129
640000 861 741321
645000 861 741321
650000 858 736164
655000 867 751689
660000 868 753424
665000 883 779689
670000 866 749956
675000 876 767376
680000 904 817216
685000 889 790321
690000 877 769129
695000 880 774400
700000 897 804609
705000 885 783225
710000 868 753424
715000 853 727609
720000 887 786769
725000 879 772641
730000 869 755161
735000 871 758641
740000 869 755161
745000 871 758641
750000 865 748225
755000 847 717409
760000 861 741321
765000 844 712336
770000 884 781456
775000 855 731025
780000 854 729316
785000 848 719104
790000 862 743044
795000 856 732736
800000 872 760384
805000 869 755161
810000 872 760384
815000 852 725904
820000 861 741321
825000 861 741321
830000 855 731025
835000 861 741321
840000 878 770884
845000 880 774400
850000 853 727609
855000 874 763876
860000 871 758641
865000 863 744769
870000 866 749956
875000 868 753424
880000 881 776161
885000 874 763876
890000 868 753424
895000 878 770884
900000 855 731025
905000 860 739600
910000 857 734449
915000 853 727609
920000 872 760384
925000 860 739600
930000 854 729316
935000 856 732736
940000 876 767376
945000 862 743044
950000 850 722500
955000 845 714025
960000 844 712336
965000 859 737881
970000 845 714025
975000 842 708964
980000 844 712336
985000 845 714025
990000 863 744769
995000 862 743044
1000000 855 731025
