# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 631 398161
205000 618 381924
210000 615 378225
215000 606 367236
220000 623 388129
225000 602 362404
230000 591 349281
235000 593 351649
240000 598 357604
245000 617 380689
250000 615 378225
255000 627 393129
260000 650 422500
265000 644 414736
270000 614 376996
275000 623 388129
280000 628 394384
285000 627 393129
290000 627 393129
295000 628 394384
300000 642 412164
305000 643 413449
310000 638 407044
315000 633 400689
320000 620 384400
325000 630 396900
330000 612 374544
335000 616 379456
340000 610 372100
345000 629 395641
350000 620 384400
355000 631 398161
360000 614 376996
365000 606 367236
370000 611 373321
375000 607 368449
380000 614 376996
385000 599 358801
390000 604 364816
395000 596 355216
400000 607 368449
405000 624 389376
410000 634 401956
415000 635 403225
420000 636 404496
425000 631 398161
430000 630 396900
435000 634 401956
440000 633 400689
445000 627 393129
450000 657 431649
455000 659 434281
460000 662 438244
465000 655 429025
470000 639 408321
475000 640 409600
480000 611 373321
485000 640 409600
490000 637 405769
495000 623 388129
500000 632 399424
505000 613 375769
510000 610 372100
515000 622 386884
520000 630 396900
525000 599 358801
530000 599 358801
535000 622 386884
540000 607 368449
545000 598 357604
550000 585 342225
555000 606 367236
560000 611 373321
565000 603 363609
570000 636 404496
575000 628 394384
580000 618 381924
585000 625 390625
590000 640 409600
595000 633 400689
600000 612 374544
605000 631 398161
610000 646 417316
615000 624 389376
620000 622 386884
625000 621 385641
630000 614 376996
635000 627 393129
640000 628 394384
645000 608 369664
650000 623 388129
655000 631 398161
660000 640 409600
665000 637 405769
670000 614 376996
675000 613 375769
680000 616 379456
685000 634 401956
690000 629 395641
695000 612 374544
700000 636 404496
705000 627 393129
710000 625 390625
715000 628 394384
720000 609 370881
725000 608 369664
730000 638 407044
735000 639 408321
740000 633 400689
745000 640 409600
750000 644 414736
755000 632 399424
760000 628 394384
765000 631 398161
770000 622 386884
775000 651 423801
780000 635 403225
785000 625 390625
790000 635 403225
795000 624 389376
800000 642 412164
805000 636 404496
810000 633 400689
815000 626 391876
820000 632 399424
825000 641 410881
830000 643 413449
835000 629 395641
840000 643 413449
845000 646 417316
850000 638 407044
855000 631 398161
860000 641 410881
865000 638 407044
870000 645 416025
875000 649 421201
880000 657 431649
885000 665 442225
890000 666 443556
895000 645 416025
900000 636 404496
905000 629 395641
910000 616 379456
915000 622 386884
920000 633 400689
925000 635 403225
930000 662 438244
935000 637 405769
940000 645 416025
945000 633 400689
950000 639 408321
955000 642 412164
960000 637 405769
965000 630 396900
970000 648 419904
975000 641 410881
980000 626 391876
985000 639 408321
990000 618 381924
995000 624 389376
1000000 631 398161
