# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 9 81
205000 14 196
210000 10 100
215000 12 144
220000 14 196
225000 15 225
230000 11 121
235000 17 289
240000 12 144
245000 13 169
250000 12 144
255000 18 324
260000 10 100
265000 15 225
270000 13 169
275000 11 121
280000 12 144
285000 19 361
290000 14 196
295000 13 169
300000 12 144
305000 10 100
310000 11 121
315000 15 225
320000 12 144
325000 11 121
330000 14 196
335000 17 289
340000 15 225
345000 10 100
350000 16 256
355000 18 324
360000 13 169
365000 14 196
370000 12 144
375000 17 289
380000 10 100
385000 15 225
390000 10 100
395000 7 49
400000 8 64
405000 12 144
410000 9 81
415000 9 81
420000 14 196
425000 10 100
430000 13 169
435000 19 361
440000 13 169
445000 15 225
450000 15 225
455000 16 256
460000 16 256
465000 16 256
470000 8 64
475000 13 169
480000 12 144
485000 12 144
490000 14 196
495000 10 100
500000 17 289
505000 14 196
510000 13 169
515000 12 144
520000 11 121
525000 15 225
530000 13 169
535000 18 324
540000 16 256
545000 13 169
550000 16 256
555000 15 225
560000 14 196
565000 12 144
570000 14 196
575000 10 100
580000 11 121
585000 15 225
590000 9 81
595000 10 100
600000 11 121
605000 13 169
610000 12 144
615000 10 100
620000 11 121
625000 10 100
630000 13 169
635000 14 196
640000 8 64
645000 15 225
650000 11 121
655000 12 144
660000 18 324
665000 14 196
670000 12 144
675000 13 169
680000 13 169
685000 8 64
690000 12 144
695000 7 49
700000 16 256
705000 15 225
710000 13 169
715000 15 225
720000 12 144
725000 15 225
730000 9 81
735000 9 81
740000 13 169
745000 14 196
750000 6 36
755000 11 121
760000 16 256
765000 15 225
770000 17 289
775000 14 196
780000 11 121
785000 9 81
790000 10 100
795000 16 256
800000 14 196
805000 12 144
810000 10 100
815000 10 100
820000 16 256
825000 16 256
830000 14 196
835000 7 49
840000 13 169
845000 10 100
850000 15 225
855000 11 121
860000 11 121
865000 7 49
870000 12 144
875000 8 64
880000 10 100
885000 11 121
890000 16 256
895000 12 144
900000 14 196
905000 16 256
910000 13 169
915000 12 144
920000 15 225
925000 11 121
930000 11 121
935000 11 121
940000 11 121
945000 12 144
950000 11 121
955000 16 256
960000 13 169
965000 12 144
970000 9 81
975000 13 169
980000 12 144
985000 15 225
990000 11 121
995000 11 121
1000000 12 144
