#mu	PbyP0	Navg	Uptake[mmol/g]
-9.00	3.1139922213e+00	2017.34	20.4833734029
-9.05	2.9127207220e+00	2020.69	20.5173881456
-9.10	2.7244583164e+00	2005.89	20.3671140587
-9.15	2.5483641674e+00	2018.09	20.4909886438
-9.20	2.3836517853e+00	2013.92	20.4486479045
-9.25	2.2295855146e+00	1999.3	20.3002014754
-9.30	2.0854772486e+00	1998.71	20.2942108193
-9.35	1.9506833562e+00	1982.65	20.1311431277
-9.40	1.8246018069e+00	1987.93	20.1847544236
-9.45	1.7066694824e+00	1982.17	20.1262693736
-9.50	1.5963596610e+00	1976.06	20.0642305445
-9.55	1.4931796659e+00	1979.23	20.0964176293
-9.60	1.3966686637e+00	1965.47	19.9567033431
-9.65	1.3063956071e+00	1958.98	19.8908061253
-9.70	1.2219573094e+00	1942.81	19.7266215318
-9.75	1.1429766433e+00	1931.57	19.6124944550
-9.80	1.0691008574e+00	1786.94	18.1439714023
-9.85	1.0000000000e+00	1481.5	15.0426391666
-9.90	9.3536544571e-01	1240.4	12.5945930626
-9.95	8.7490851704e-01	1205.31	12.2383013256
-10.00	8.1835919500e-01	1125	11.4228613314
-10.05	7.6546491318e-01	1056.61	10.7284528990
-10.10	7.1598942970e-01	1039.81	10.5578715031
-10.15	6.6971177203e-01	1006.91	10.2238162695
-10.20	6.2642525015e-01	958.553	9.7328159980
-10.25	5.8593653331e-01	927.366	9.4161539746
-10.30	5.4806478664e-01	900.429	9.1426449829
-10.35	5.1264086344e-01	869.522	8.8288259828
-10.40	4.7950654972e-01	842.839	8.5578960193
-10.45	4.4851385760e-01	817.106	8.2966120276
-10.50	4.1952436432e-01	797.708	8.0996514373
-10.55	3.9240859402e-01	774.143	7.8603805686
-10.60	3.6704543945e-01	760.261	7.7194275366
-10.65	3.4332162107e-01	741.441	7.5283357586
-10.70	3.2113118111e-01	728.733	7.3993031170
-10.75	3.0037501036e-01	710.199	7.2111152842
-10.80	2.8096040544e-01	692.193	7.0282885809
-10.85	2.6280065486e-01	681.416	6.9188626462
-10.90	2.4581465167e-01	668.932	6.7921044232
-10.95	2.2992653122e-01	644.832	6.5474013494
-11.00	2.1506533236e-01	637.441	6.4723556888
-11.05	2.0116468046e-01	627.602	6.3724538821
-11.10	1.8816249100e-01	611.106	6.2049591971
-11.15	1.7600069226e-01	597.217	6.0639350896
-11.20	1.6462496596e-01	581.292	5.9022381414
-11.25	1.5398450466e-01	567.422	5.7614069532
-11.30	1.4403178484e-01	556.199	5.6474524886
-11.35	1.3472235462e-01	537.143	5.4539644481
-11.40	1.2601463528e-01	527.46	5.3556466114
-11.45	1.1786973549e-01	515.236	5.2315283386
-11.50	1.1025127768e-01	499.087	5.0675569718
-11.55	1.0312523548e-01	487.925	4.9542218801
-11.60	9.6459781853e-02	468.081	4.7527327599
-11.65	9.0225146846e-02	460.559	4.6763569706
-11.70	8.4393484694e-02	448.453	4.5534368290
-11.75	7.8938749427e-02	430.174	4.3678381781
-11.80	7.3836578541e-02	417.776	4.2419531694
-11.85	6.9064184197e-02	402.957	4.0914861631
-11.90	6.4600251435e-02	391.807	3.9782729153
-11.95	6.0424842976e-02	381.317	3.8717610794
-12.00	5.6519310183e-02	367.193	3.7283508630
-12.05	5.2866209761e-02	353.671	3.5910531466
-12.10	4.9449225856e-02	337.081	3.4226040182
-12.15	4.6253097183e-02	325.385	3.3038468749
-12.20	4.3263548862e-02	313.043	3.1785304709
-12.25	4.0467228665e-02	298.447	3.0303277296
-12.30	3.7851647377e-02	287.05	2.9146065290
-12.35	3.5405123019e-02	273.161	2.7735824215
-12.40	3.3116728674e-02	260.727	2.6473318812
-12.45	3.0976243676e-02	253.18	2.5707022506
-12.50	2.8974107973e-02	242.137	2.4585754437
-12.55	2.7101379418e-02	231.323	2.3487738238
-12.60	2.5349693839e-02	222.478	2.2589647496
-12.65	2.3711227676e-02	215.124	2.1842947743
-12.70	2.2178663044e-02	201.795	2.0489567132
-12.75	2.0745155044e-02	192.348	1.9530351390
-12.80	1.9404301194e-02	184.18	1.8701000889
-12.85	1.8150112835e-02	177.702	1.8043247149
-12.90	1.6976988381e-02	167.534	1.7010823558
-12.95	1.5879688304e-02	161.807	1.6429323764
-13.00	1.4853311729e-02	155.18	1.5756441079
-13.05	1.3893274545e-02	146.565	1.4881703743
-13.10	1.2995288937e-02	139.329	1.4146985302
-13.15	1.2155344229e-02	133.944	1.3600211006
-13.20	1.1369688973e-02	128.509	1.3048359883
-13.25	1.0634814194e-02	124.466	1.2637847631
-13.30	9.9474377183e-03	117.056	1.1885461831
-13.35	9.3044895151e-03	112.242	1.1396664903
-13.40	8.7030979824e-03	108.05	1.0971023705
-13.45	8.1405771234e-03	103.006	1.0458873372
-13.50	7.6144145494e-03	100.689	1.0223613196
-13.55	7.1222602589e-03	95.5652	0.9703360246
-13.60	6.6619161415e-03	93.3789	0.9481370898
-13.65	6.2313261610e-03	89.3975	0.9077113297
-13.70	5.8285671720e-03	85.1553	0.8646374965
-13.75	5.4518403307e-03	81.559	0.8281219087
-13.80	5.0994630609e-03	79.087	0.8030220748
-13.85	4.7698615389e-03	75.9876	0.7715518380
-13.90	4.4615636643e-03	72.7453	0.7386306439
-13.95	4.1731924854e-03	70.677	0.7176298403
-14.00	3.9034600492e-03	67.9876	0.6903226018
-14.05	3.6511616487e-03	66.0621	0.6707717401
-14.10	3.4151704429e-03	64.2733	0.6526088829
-14.15	3.1944324235e-03	61.5528	0.6249858657
-14.20	2.9879617076e-03	58.8199	0.5972369433
-14.25	2.7948361345e-03	56.9068	0.5778119869
-14.30	2.6141931466e-03	55.1304	0.5597750350
-14.35	2.4452259377e-03	54.3727	0.5520816109
-14.40	2.2871798491e-03	52.5901	0.5339817064
-14.45	2.1393489990e-03	49.9006	0.5066734526
-14.50	2.0010731300e-03	48.2298	0.4897087266
-14.55	1.8717346601e-03	46.3292	0.4704106908
-14.60	1.7507559246e-03	46.2547	0.4696542436
-14.65	1.6375965958e-03	44.9441	0.4563468640
-14.70	1.5317512697e-03	43.7453	0.4441746629
-14.75	1.4327472091e-03	41.6584	0.4229850013
-14.80	1.3401422319e-03	40.5901	0.4121378522
-14.85	1.2535227360e-03	39.4534	0.4005961931
-14.90	1.1725018527e-03	37.6025	0.3818027940
-14.95	1.0967177180e-03	37.0621	0.3763157591
-15.00	1.0258318572e-03	35.8385	0.3638917474
-15.05	9.5952767230e-04	33.8696	0.3439002170
-15.10	8.9750902888e-04	33.3043	0.3381603561
-15.15	8.3949893283e-04	31.0994	0.3157725633
-15.20	7.8523829348e-04	31.4845	0.3196827356
-15.25	7.3448476637e-04	29.5839	0.3003846999
-15.30	6.8701167087e-04	29.9317	0.3039161409
-15.35	6.4260697773e-04	28.4783	0.2891588194
-15.40	6.0107236215e-04	27.3292	0.2774912550
-15.45	5.6222231793e-04	26.6708	0.2708060889
-15.50	5.2588332900e-04	26.3478	0.2675264585
-15.55	4.9189309442e-04	24.9627	0.2534626316
-15.60	4.6009980351e-04	24.5404	0.2491747433
-15.65	4.3036145778e-04	23.8012	0.2416691619
-15.70	4.0254523677e-04	22.5342	0.2288044816
-15.75	3.7652690481e-04	21.6646	0.2199748636
-15.80	3.5219025615e-04	20.6708	0.2098841618
-15.85	3.2942659592e-04	20.5217	0.2083702519
-15.90	3.0813425472e-04	19.9006	0.2020638171
-15.95	2.8821813450e-04	18.9255	0.1921629886
-16.00	2.6958928384e-04	18.4099	0.1869277643
-16.05	2.5216450064e-04	17.3727	0.1763963938
-16.10	2.3586596054e-04	17.528	0.1779732564
-16.15	2.2062086931e-04	16.7453	0.1700259910
-16.20	2.0636113775e-04	16.2112	0.1646029241
-16.25	1.9302307759e-04	15.4907	0.1572872160
-16.30	1.8054711700e-04	14.7826	0.1500974133
-16.35	1.6887753457e-04	14.4907	0.1471335615
-16.40	1.5796221039e-04	14	0.1421511632
-16.45	1.4775239333e-04	13.4286	0.1363493650
-16.50	1.3820248324e-04	12.6335	0.1282761943
-16.55	1.2926982734e-04	12.1366	0.1232308434
-16.60	1.2091452966e-04	11.7143	0.1189429551
-16.65	1.1309927293e-04	11.0497	0.1121948363
-16.70	1.0578915184e-04	11.9441	0.1212762649
-16.75	9.8951517160e-05	11.0435	0.1121318837
-16.80	9.2555829952e-05	10.6957	0.1086004426
-16.85	8.6573525136e-05	10.1304	0.1028605817
-16.90	8.0977883926e-05	9.70807	0.0985723888
-16.95	7.5743914492e-05	9.28571	0.0942838913
-17.00	7.0848240339e-05	9.08696	0.0922658524
