# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 1536 2.3593e+06
205000 1537 2.36237e+06
210000 1549 2.3994e+06
215000 1568 2.45862e+06
220000 1573 2.47433e+06
225000 1551 2.4056e+06
230000 1573 2.47433e+06
235000 1578 2.49008e+06
240000 1572 2.47118e+06
245000 1573 2.47433e+06
250000 1582 2.50272e+06
255000 1578 2.49008e+06
260000 1569 2.46176e+06
265000 1564 2.4461e+06
270000 1583 2.50589e+06
275000 1576 2.48378e+06
280000 1577 2.48693e+06
285000 1598 2.5536e+06
290000 1602 2.5664e+06
295000 1610 2.5921e+06
300000 1633 2.66669e+06
305000 1629 2.65364e+06
310000 1631 2.66016e+06
315000 1634 2.66996e+06
320000 1632 2.66342e+06
325000 1647 2.71261e+06
330000 1684 2.83586e+06
335000 1683 2.83249e+06
340000 1707 2.91385e+06
345000 1696 2.87642e+06
350000 1706 2.91044e+06
355000 1732 2.99982e+06
360000 1733 3.00329e+06
365000 1747 3.05201e+06
370000 1755 3.08002e+06
375000 1749 3.059e+06
380000 1764 3.1117e+06
385000 1754 3.07652e+06
390000 1763 3.10817e+06
395000 1765 3.11522e+06
400000 1778 3.16128e+06
405000 1796 3.22562e+06
410000 1806 3.26164e+06
415000 1825 3.33062e+06
420000 1842 3.39296e+06
425000 1856 3.44474e+06
430000 1861 3.46332e+06
435000 1875 3.51562e+06
440000 1871 3.50064e+06
445000 1883 3.54569e+06
450000 1888 3.56454e+06
455000 1891 3.57588e+06
460000 1885 3.55322e+06
465000 1891 3.57588e+06
470000 1894 3.58724e+06
475000 1896 3.59482e+06
480000 1897 3.59861e+06
485000 1900 3.61e+06
490000 1906 3.63284e+06
495000 1910 3.6481e+06
500000 1914 3.6634e+06
505000 1915 3.66722e+06
510000 1917 3.67489e+06
515000 1919 3.68256e+06
520000 1919 3.68256e+06
525000 1912 3.65574e+06
530000 1918 3.67872e+06
535000 1918 3.67872e+06
540000 1927 3.71333e+06
545000 1927 3.71333e+06
550000 1933 3.73649e+06
555000 1938 3.75584e+06
560000 1937 3.75197e+06
565000 1940 3.7636e+06
570000 1943 3.77525e+06
575000 1944 3.77914e+06
580000 1945 3.78302e+06
585000 1940 3.7636e+06
590000 1940 3.7636e+06
595000 1939 3.75972e+06
600000 1937 3.75197e+06
605000 1933 3.73649e+06
610000 1941 3.76748e+06
615000 1936 3.7481e+06
620000 1931 3.72876e+06
625000 1936 3.7481e+06
630000 1939 3.75972e+06
635000 1938 3.75584e+06
640000 1940 3.7636e+06
645000 1939 3.75972e+06
650000 1937 3.75197e+06
655000 1936 3.7481e+06
660000 1937 3.75197e+06
665000 1935 3.74422e+06
670000 1938 3.75584e+06
675000 1938 3.75584e+06
680000 1936 3.7481e+06
685000 1935 3.74422e+06
690000 1936 3.7481e+06
695000 1941 3.76748e+06
700000 1941 3.76748e+06
705000 1936 3.7481e+06
710000 1937 3.75197e+06
715000 1939 3.75972e+06
720000 1937 3.75197e+06
725000 1938 3.75584e+06
730000 1938 3.75584e+06
735000 1938 3.75584e+06
740000 1936 3.7481e+06
745000 1938 3.75584e+06
750000 1945 3.78302e+06
755000 1946 3.78692e+06
760000 1946 3.78692e+06
765000 1946 3.78692e+06
770000 1943 3.77525e+06
775000 1950 3.8025e+06
780000 1952 3.8103e+06
785000 1948 3.7947e+06
790000 1944 3.77914e+06
795000 1946 3.78692e+06
800000 1945 3.78302e+06
805000 1946 3.78692e+06
810000 1941 3.76748e+06
815000 1945 3.78302e+06
820000 1942 3.77136e+06
825000 1943 3.77525e+06
830000 1939 3.75972e+06
835000 1942 3.77136e+06
840000 1945 3.78302e+06
845000 1948 3.7947e+06
850000 1944 3.77914e+06
855000 1944 3.77914e+06
860000 1947 3.79081e+06
865000 1948 3.7947e+06
870000 1946 3.78692e+06
875000 1948 3.7947e+06
880000 1946 3.78692e+06
885000 1943 3.77525e+06
890000 1942 3.77136e+06
895000 1944 3.77914e+06
900000 1944 3.77914e+06
905000 1944 3.77914e+06
910000 1942 3.77136e+06
915000 1943 3.77525e+06
920000 1940 3.7636e+06
925000 1944 3.77914e+06
930000 1946 3.78692e+06
935000 1947 3.79081e+06
940000 1946 3.78692e+06
945000 1946 3.78692e+06
950000 1947 3.79081e+06
955000 1946 3.78692e+06
960000 1949 3.7986e+06
965000 1951 3.8064e+06
970000 1950 3.8025e+06
975000 1948 3.7947e+06
980000 1946 3.78692e+06
985000 1946 3.78692e+06
990000 1945 3.78302e+06
995000 1946 3.78692e+06
1000000 1946 3.78692e+06
