# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 157 24649
205000 181 32761
210000 180 32400
215000 191 36481
220000 179 32041
225000 187 34969
230000 188 35344
235000 179 32041
240000 177 31329
245000 181 32761
250000 186 34596
255000 159 25281
260000 180 32400
265000 183 33489
270000 175 30625
275000 180 32400
280000 180 32400
285000 177 31329
290000 164 26896
295000 165 27225
300000 157 24649
305000 176 30976
310000 172 29584
315000 173 29929
320000 168 28224
325000 173 29929
330000 172 29584
335000 181 32761
340000 176 30976
345000 172 29584
350000 173 29929
355000 168 28224
360000 164 26896
365000 178 31684
370000 173 29929
375000 160 25600
380000 185 34225
385000 177 31329
390000 177 31329
395000 172 29584
400000 175 30625
405000 168 28224
410000 174 30276
415000 183 33489
420000 174 30276
425000 186 34596
430000 170 28900
435000 162 26244
440000 165 27225
445000 182 33124
450000 162 26244
455000 158 24964
460000 151 22801
465000 159 25281
470000 184 33856
475000 179 32041
480000 181 32761
485000 186 34596
490000 167 27889
495000 175 30625
500000 175 30625
505000 168 28224
510000 163 26569
515000 175 30625
520000 179 32041
525000 174 30276
530000 185 34225
535000 180 32400
540000 180 32400
545000 164 26896
550000 171 29241
555000 161 25921
560000 162 26244
565000 177 31329
570000 181 32761
575000 167 27889
580000 171 29241
585000 185 34225
590000 171 29241
595000 180 32400
600000 161 25921
605000 176 30976
610000 173 29929
615000 176 30976
620000 172 29584
625000 169 28561
630000 164 26896
635000 171 29241
640000 174 30276
645000 179 32041
650000 182 33124
655000 171 29241
660000 182 33124
665000 182 33124
670000 165 27225
675000 175 30625
680000 175 30625
685000 180 32400
690000 178 31684
695000 185 34225
700000 176 30976
705000 178 31684
710000 184 33856
715000 182 33124
720000 184 33856
725000 172 29584
730000 185 34225
735000 194 37636
740000 191 36481
745000 198 39204
750000 184 33856
755000 180 32400
760000 188 35344
765000 183 33489
770000 164 26896
775000 172 29584
780000 175 30625
785000 192 36864
790000 175 30625
795000 197 38809
800000 187 34969
805000 190 36100
810000 168 28224
815000 184 33856
820000 174 30276
825000 182 33124
830000 161 25921
835000 171 29241
840000 191 36481
845000 182 33124
850000 164 26896
855000 153 23409
860000 153 23409
865000 160 25600
870000 150 22500
875000 154 23716
880000 148 21904
885000 171 29241
890000 164 26896
895000 184 33856
900000 172 29584
905000 184 33856
910000 174 30276
915000 168 28224
920000 177 31329
925000 177 31329
930000 184 33856
935000 195 38025
940000 187 34969
945000 175 30625
950000 161 25921
955000 179 32041
960000 203 41209
965000 181 32761
970000 193 37249
975000 180 32400
980000 178 31684
985000 166 27556
990000 171 29241
995000 176 30976
1000000 180 32400
