# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 9 81
205000 8 64
210000 12 144
215000 13 169
220000 13 169
225000 17 289
230000 15 225
235000 21 441
240000 14 196
245000 19 361
250000 15 225
255000 17 289
260000 14 196
265000 11 121
270000 16 256
275000 10 100
280000 10 100
285000 8 64
290000 7 49
295000 12 144
300000 12 144
305000 11 121
310000 8 64
315000 9 81
320000 15 225
325000 11 121
330000 12 144
335000 12 144
340000 14 196
345000 13 169
350000 13 169
355000 12 144
360000 13 169
365000 9 81
370000 11 121
375000 12 144
380000 13 169
385000 12 144
390000 16 256
395000 13 169
400000 17 289
405000 14 196
410000 10 100
415000 17 289
420000 13 169
425000 10 100
430000 11 121
435000 12 144
440000 16 256
445000 10 100
450000 13 169
455000 10 100
460000 10 100
465000 10 100
470000 14 196
475000 12 144
480000 14 196
485000 11 121
490000 8 64
495000 8 64
500000 7 49
505000 14 196
510000 11 121
515000 15 225
520000 13 169
525000 10 100
530000 11 121
535000 16 256
540000 12 144
545000 10 100
550000 13 169
555000 12 144
560000 16 256
565000 9 81
570000 7 49
575000 10 100
580000 15 225
585000 12 144
590000 12 144
595000 11 121
600000 11 121
605000 11 121
610000 13 169
615000 12 144
620000 13 169
625000 13 169
630000 12 144
635000 13 169
640000 12 144
645000 8 64
650000 9 81
655000 13 169
660000 12 144
665000 14 196
670000 16 256
675000 13 169
680000 13 169
685000 12 144
690000 13 169
695000 11 121
700000 12 144
705000 14 196
710000 20 400
715000 11 121
720000 16 256
725000 14 196
730000 13 169
735000 14 196
740000 17 289
745000 12 144
750000 12 144
755000 14 196
760000 12 144
765000 19 361
770000 21 441
775000 20 400
780000 15 225
785000 13 169
790000 15 225
795000 14 196
800000 15 225
805000 16 256
810000 23 529
815000 14 196
820000 14 196
825000 11 121
830000 13 169
835000 14 196
840000 14 196
845000 15 225
850000 13 169
855000 13 169
860000 13 169
865000 10 100
870000 10 100
875000 6 36
880000 11 121
885000 9 81
890000 13 169
895000 23 529
900000 8 64
905000 11 121
910000 11 121
915000 14 196
920000 15 225
925000 18 324
930000 15 225
935000 13 169
940000 15 225
945000 14 196
950000 13 169
955000 15 225
960000 12 144
965000 15 225
970000 12 144
975000 10 100
980000 11 121
985000 11 121
990000 13 169
995000 14 196
1000000 8 64
