# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 454 206116
205000 464 215296
210000 450 202500
215000 465 216225
220000 451 203401
225000 452 204304
230000 443 196249
235000 441 194481
240000 429 184041
245000 407 165649
250000 434 188356
255000 449 201601
260000 453 205209
265000 452 204304
270000 456 207936
275000 451 203401
280000 444 197136
285000 430 184900
290000 450 202500
295000 461 212521
300000 477 227529
305000 456 207936
310000 449 201601
315000 418 174724
320000 435 189225
325000 447 199809
330000 455 207025
335000 463 214369
340000 483 233289
345000 452 204304
350000 463 214369
355000 476 226576
360000 474 224676
365000 493 243049
370000 485 235225
375000 475 225625
380000 475 225625
385000 467 218089
390000 467 218089
395000 458 209764
400000 451 203401
405000 454 206116
410000 452 204304
415000 450 202500
420000 463 214369
425000 451 203401
430000 469 219961
435000 478 228484
440000 468 219024
445000 465 216225
450000 478 228484
455000 476 226576
460000 480 230400
465000 466 217156
470000 453 205209
475000 437 190969
480000 439 192721
485000 454 206116
490000 446 198916
495000 443 196249
500000 462 213444
505000 439 192721
510000 442 195364
515000 446 198916
520000 426 181476
525000 455 207025
530000 461 212521
535000 432 186624
540000 458 209764
545000 455 207025
550000 451 203401
555000 460 211600
560000 465 216225
565000 470 220900
570000 453 205209
575000 460 211600
580000 453 205209
585000 456 207936
590000 462 213444
595000 460 211600
600000 478 228484
605000 471 221841
610000 464 215296
615000 473 223729
620000 447 199809
625000 459 210681
630000 459 210681
635000 468 219024
640000 471 221841
645000 447 199809
650000 438 191844
655000 454 206116
660000 435 189225
665000 435 189225
670000 448 200704
675000 465 216225
680000 460 211600
685000 461 212521
690000 448 200704
695000 467 218089
700000 456 207936
705000 466 217156
710000 439 192721
715000 453 205209
720000 443 196249
725000 456 207936
730000 476 226576
735000 470 220900
740000 460 211600
745000 456 207936
750000 448 200704
755000 437 190969
760000 450 202500
765000 450 202500
770000 452 204304
775000 470 220900
780000 453 205209
785000 452 204304
790000 455 207025
795000 463 214369
800000 458 209764
805000 459 210681
810000 446 198916
815000 431 185761
820000 442 195364
825000 454 206116
830000 463 214369
835000 450 202500
840000 459 210681
845000 474 224676
850000 447 199809
855000 462 213444
860000 477 227529
865000 470 220900
870000 465 216225
875000 464 215296
880000 465 216225
885000 458 209764
890000 468 219024
895000 460 211600
900000 441 194481
905000 444 197136
910000 455 207025
915000 481 231361
920000 461 212521
925000 445 198025
930000 445 198025
935000 442 195364
940000 449 201601
945000 464 215296
950000 484 234256
955000 470 220900
960000 469 219961
965000 458 209764
970000 444 197136
975000 454 206116
980000 446 198916
985000 461 212521
990000 462 213444
995000 479 229441
1000000 469 219961
