#mu	PbyP0	Navg	Uptake[mmol/g]
-9.00	3.1139922213e+00	2025.29	20.5640949563
-9.05	2.9127207220e+00	2014.33	20.4528109028
-9.10	2.7244583164e+00	2014.12	20.4506786354
-9.15	2.5483641674e+00	2020.55	20.5159666339
-9.20	2.3836517853e+00	2008.16	20.3901628545
-9.25	2.2295855146e+00	2010.08	20.4096578711
-9.30	2.0854772486e+00	1990.83	20.2142000217
-9.35	1.9506833562e+00	1996.86	20.2754265584
-9.40	1.8246018069e+00	1995.2	20.2585714919
-9.45	1.7066694824e+00	1989.09	20.1965326628
-9.50	1.5963596610e+00	1979.58	20.0999714084
-9.55	1.4931796659e+00	1966.5	19.9671616073
-9.60	1.3966686637e+00	1965.59	19.9579217817
-9.65	1.3063956071e+00	1959.44	19.8954768064
-9.70	1.2219573094e+00	1943.66	19.7352521381
-9.75	1.1429766433e+00	1940.75	19.7057050035
-9.80	1.0691008574e+00	1855.66	18.8417305407
-9.85	1.0000000000e+00	1485.43	15.0825430289
-9.90	9.3536544571e-01	1281.19	13.0087606304
-9.95	8.7490851704e-01	1169.83	11.8780496634
-10.00	8.1835919500e-01	1123.43	11.4069200938
-10.05	7.6546491318e-01	1076.77	10.9331505741
-10.10	7.1598942970e-01	1031.83	10.4768453401
-10.15	6.6971177203e-01	995.919	10.1122174527
-10.20	6.2642525015e-01	953.391	9.6804028334
-10.25	5.8593653331e-01	910.826	9.2482125289
-10.30	5.4806478664e-01	894.938	9.0868912660
-10.35	5.1264086344e-01	868.043	8.8138087277
-10.40	4.7950654972e-01	846.634	8.5964291382
-10.45	4.4851385760e-01	816.186	8.2872706655
-10.50	4.1952436432e-01	791.975	8.0414405359
-10.55	3.9240859402e-01	781.267	7.9327152034
-10.60	3.6704543945e-01	757.161	7.6879512076
-10.65	3.4332162107e-01	736.261	7.4757398282
-10.70	3.2113118111e-01	726.118	7.3727513104
-10.75	3.0037501036e-01	709.366	7.2026572900
-10.80	2.8096040544e-01	693.106	7.0375588675
-10.85	2.6280065486e-01	680.056	6.9050536761
-10.90	2.4581465167e-01	664.149	6.7435394937
-10.95	2.2992653122e-01	646.366	6.5629770554
-11.00	2.1506533236e-01	634.801	6.4455500409
