# mu P_by_P0 Nmean Nse uptake_mean uptake_se
-1.4350000000e+01 2.4452259377e-03 5.4054660000e+01 2.7953015687e-01 5.4885234268e-01 2.8382526402e-03
-1.4400000000e+01 2.2871798491e-03 5.1893180000e+01 2.9374405083e-01 5.2690542150e-01 2.9825756084e-03
-1.4450000000e+01 2.1393489990e-03 5.0165200000e+01 2.3434767974e-01 5.0936010958e-01 2.3794853776e-03
-1.4500000000e+01 2.0010731300e-03 4.8532900000e+01 1.4317108647e-01 4.9278629928e-01 1.4537097486e-03
-1.4550000000e+01 1.8717346601e-03 4.7023580000e+01 2.5745565715e-01 4.7746118546e-01 2.6141158024e-03
-1.4600000000e+01 1.7507559246e-03 4.5711820000e+01 1.4206929084e-01 4.6414202764e-01 1.4425224971e-03
-1.4650000000e+01 1.6375965958e-03 4.4445960000e+01 2.3984450088e-01 4.5128892250e-01 2.4352982110e-03
-1.4700000000e+01 1.5317512697e-03 4.3494380000e+01 1.6214392804e-01 4.4162690794e-01 1.6463534214e-03
-1.4750000000e+01 1.4327472091e-03 4.1595040000e+01 1.3246869668e-01 4.2234166578e-01 1.3450413675e-03
-1.4800000000e+01 1.3401422319e-03 4.0224860000e+01 1.5862481710e-01 4.0842933142e-01 1.6106215836e-03
-1.4850000000e+01 1.2535227360e-03 3.8985080000e+01 1.3641030533e-01 3.9584103362e-01 1.3850631129e-03
-1.4900000000e+01 1.1725018527e-03 3.7560260000e+01 5.5396187594e-02 3.8137390360e-01 5.6247374126e-04
-1.4950000000e+01 1.0967177180e-03 3.6593780000e+01 2.3613706274e-01 3.7156059960e-01 2.3976541572e-03
-1.5000000000e+01 1.0258318572e-03 3.5730440000e+01 1.6679111367e-01 3.6279454348e-01 1.6935393556e-03
-1.5050000000e+01 9.5952767230e-04 3.4222360000e+01 1.4766941999e-01 3.4748202018e-01 1.4993842791e-03
-1.5100000000e+01 8.9750902888e-04 3.3159000000e+01 1.7611382115e-01 3.3668503012e-01 1.7881988920e-03
-1.5150000000e+01 8.3949893283e-04 3.1973920000e+01 2.6110854142e-01 3.2465213722e-01 2.6512059230e-03
-1.5200000000e+01 7.8523829348e-04 3.1482000000e+01 9.1057443408e-02 3.1965735148e-01 9.2456582304e-04
-1.5250000000e+01 7.3448476637e-04 2.9967700000e+01 1.3810303400e-01 3.0428167248e-01 1.4022504877e-03
-1.5300000000e+01 6.8701167087e-04 2.9236000000e+01 1.8955878772e-01 2.9685224344e-01 1.9247144441e-03
-1.5350000000e+01 6.4260697773e-04 2.8295660000e+01 2.8784860361e-01 2.8730435594e-01 2.9227152649e-03
-1.5400000000e+01 6.0107236215e-04 2.7494420000e+01 2.0652358558e-01 2.7916884180e-01 2.0969691304e-03
-1.5450000000e+01 5.6222231793e-04 2.6623600000e+01 2.4027863201e-01 2.7032683640e-01 2.4397062073e-03
-1.5500000000e+01 5.2588332900e-04 2.5752760000e+01 1.5760410718e-01 2.6148462790e-01 1.6002576573e-03
-1.5550000000e+01 4.9189309442e-04 2.5002480000e+01 2.1296542771e-01 2.5386654396e-01 2.1623773795e-03
-1.5600000000e+01 4.6009980351e-04 2.4459640000e+01 4.6971678701e-02 2.4835473418e-01 4.7693419336e-04
-1.5650000000e+01 4.3036145778e-04 2.3586320000e+01 9.9984985873e-02 2.3948734462e-01 1.0152130001e-03
-1.5700000000e+01 4.0254523677e-04 2.2504380000e+01 1.7578730443e-01 2.2850169962e-01 1.7848835689e-03
-1.5750000000e+01 3.7652690481e-04 2.1561500000e+01 1.0559113126e-01 2.1892802184e-01 1.0721358687e-03
-1.5800000000e+01 3.5219025615e-04 2.1037280000e+01 1.6221439640e-01 2.1360527310e-01 1.6470689329e-03
-1.5850000000e+01 3.2942659592e-04 2.0530420000e+01 1.3648483212e-01 2.0845879178e-01 1.3858198312e-03
-1.5900000000e+01 3.0813425472e-04 1.9623580000e+01 1.9984136058e-01 1.9925105172e-01 2.0291201276e-03
-1.5950000000e+01 2.8821813450e-04 1.9172680000e+01 1.9529539524e-01 1.9467276890e-01 1.9829619657e-03
-1.6000000000e+01 2.6958928384e-04 1.8429800000e+01 1.6914254935e-01 1.8712982202e-01 1.7174150025e-03
-1.6050000000e+01 2.5216450064e-04 1.7870820000e+01 1.6189471702e-01 1.8145413220e-01 1.6438230249e-03
-1.6100000000e+01 2.3586596054e-04 1.7268320000e+01 1.2763981119e-01 1.7533655540e-01 1.2960105409e-03
-1.6150000000e+01 2.2062086931e-04 1.6838500000e+01 1.0583601939e-01 1.7097231162e-01 1.0746223758e-03
-1.6200000000e+01 2.0636113775e-04 1.6245960000e+01 1.5981971593e-01 1.6495586512e-01 1.6227541816e-03
-1.6250000000e+01 1.9302307759e-04 1.5473300000e+01 1.7471195437e-01 1.5711054244e-01 1.7739648251e-03
-1.6300000000e+01 1.8054711700e-04 1.4729200000e+01 1.1763978494e-01 1.4955520814e-01 1.1944737309e-03
-1.6350000000e+01 1.6887753457e-04 1.4181380000e+01 9.7479092117e-02 1.4399283308e-01 9.8976902213e-04
-1.6400000000e+01 1.5796221039e-04 1.4054660000e+01 9.5800900831e-02 1.4270616198e-01 9.7272925868e-04
