# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 280 78400
205000 278 77284
210000 260 67600
215000 264 69696
220000 269 72361
225000 290 84100
230000 284 80656
235000 268 71824
240000 256 65536
245000 269 72361
250000 267 71289
255000 266 70756
260000 279 77841
265000 252 63504
270000 255 65025
275000 254 64516
280000 266 70756
285000 248 61504
290000 261 68121
295000 279 77841
300000 283 80089
305000 274 75076
310000 254 64516
315000 277 76729
320000 270 72900
325000 281 78961
330000 273 74529
335000 274 75076
340000 267 71289
345000 264 69696
350000 270 72900
355000 262 68644
360000 253 64009
365000 254 64516
370000 237 56169
375000 238 56644
380000 255 65025
385000 242 58564
390000 248 61504
395000 263 69169
400000 266 70756
405000 289 83521
410000 280 78400
415000 281 78961
420000 271 73441
425000 280 78400
430000 250 62500
435000 284 80656
440000 293 85849
445000 268 71824
450000 270 72900
455000 260 67600
460000 271 73441
465000 278 77284
470000 273 74529
475000 274 75076
480000 282 79524
485000 263 69169
490000 250 62500
495000 255 65025
500000 256 65536
505000 284 80656
510000 260 67600
515000 272 73984
520000 281 78961
525000 284 80656
530000 273 74529
535000 280 78400
540000 270 72900
545000 269 72361
550000 272 73984
555000 282 79524
560000 291 84681
565000 294 86436
570000 280 78400
575000 261 68121
580000 255 65025
585000 268 71824
590000 261 68121
595000 252 63504
600000 254 64516
605000 261 68121
610000 257 66049
615000 273 74529
620000 284 80656
625000 267 71289
630000 288 82944
635000 280 78400
640000 272 73984
645000 263 69169
650000 252 63504
655000 252 63504
660000 260 67600
665000 269 72361
670000 264 69696
675000 269 72361
680000 257 66049
685000 267 71289
690000 279 77841
695000 267 71289
700000 262 68644
705000 240 57600
710000 254 64516
715000 255 65025
720000 255 65025
725000 261 68121
730000 274 75076
735000 269 72361
740000 254 64516
745000 249 62001
750000 246 60516
755000 257 66049
760000 258 66564
765000 269 72361
770000 271 73441
775000 247 61009
780000 251 63001
785000 255 65025
790000 252 63504
795000 230 52900
800000 234 54756
805000 242 58564
810000 247 61009
815000 254 64516
820000 240 57600
825000 252 63504
830000 266 70756
835000 268 71824
840000 259 67081
845000 258 66564
850000 261 68121
855000 265 70225
860000 270 72900
865000 267 71289
870000 296 87616
875000 281 78961
880000 268 71824
885000 248 61504
890000 264 69696
895000 277 76729
900000 263 69169
905000 260 67600
910000 262 68644
915000 264 69696
920000 275 75625
925000 278 77284
930000 278 77284
935000 281 78961
940000 272 73984
945000 266 70756
950000 256 65536
955000 244 59536
960000 258 66564
965000 252 63504
970000 269 72361
975000 264 69696
980000 259 67081
985000 269 72361
990000 246 60516
995000 260 67600
1000000 262 68644
