# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 509 259081
205000 527 277729
210000 531 281961
215000 516 266256
220000 515 265225
225000 529 279841
230000 505 255025
235000 519 269361
240000 521 271441
245000 520 270400
250000 520 270400
255000 505 255025
260000 498 248004
265000 501 251001
270000 498 248004
275000 517 267289
280000 488 238144
285000 488 238144
290000 510 260100
295000 525 275625
300000 515 265225
305000 510 260100
310000 505 255025
315000 507 257049
320000 517 267289
325000 507 257049
330000 514 264196
335000 504 254016
340000 511 261121
345000 529 279841
350000 496 246016
355000 513 263169
360000 504 254016
365000 503 253009
370000 508 258064
375000 511 261121
380000 504 254016
385000 502 252004
390000 504 254016
395000 490 240100
400000 513 263169
405000 502 252004
410000 496 246016
415000 519 269361
420000 506 256036
425000 523 273529
430000 530 280900
435000 523 273529
440000 524 274576
445000 515 265225
450000 539 290521
455000 542 293764
460000 531 281961
465000 523 273529
470000 511 261121
475000 513 263169
480000 532 283024
485000 532 283024
490000 515 265225
495000 510 260100
500000 519 269361
505000 502 252004
510000 504 254016
515000 500 250000
520000 528 278784
525000 528 278784
530000 512 262144
535000 504 254016
540000 503 253009
545000 522 272484
550000 510 260100
555000 514 264196
560000 514 264196
565000 512 262144
570000 530 280900
575000 505 255025
580000 514 264196
585000 524 274576
590000 534 285156
595000 540 291600
600000 515 265225
605000 537 288369
610000 545 297025
615000 527 277729
620000 501 251001
625000 509 259081
630000 509 259081
635000 503 253009
640000 508 258064
645000 502 252004
650000 506 256036
655000 502 252004
660000 491 241081
665000 508 258064
670000 504 254016
675000 503 253009
680000 489 239121
685000 490 240100
690000 521 271441
695000 520 270400
700000 493 243049
705000 512 262144
710000 513 263169
715000 498 248004
720000 511 261121
725000 533 284089
730000 515 265225
735000 493 243049
740000 502 252004
745000 507 257049
750000 516 266256
755000 529 279841
760000 540 291600
765000 539 290521
770000 531 281961
775000 541 292681
780000 533 284089
785000 519 269361
790000 524 274576
795000 520 270400
800000 520 270400
805000 527 277729
810000 523 273529
815000 529 279841
820000 508 258064
825000 504 254016
830000 495 245025
835000 502 252004
840000 514 264196
845000 498 248004
850000 495 245025
855000 499 249001
860000 500 250000
865000 487 237169
870000 489 239121
875000 510 260100
880000 505 255025
885000 488 238144
890000 499 249001
895000 498 248004
900000 507 257049
905000 490 240100
910000 511 261121
915000 513 263169
920000 543 294849
925000 525 275625
930000 517 267289
935000 524 274576
940000 516 266256
945000 512 262144
950000 506 256036
955000 494 244036
960000 510 260100
965000 502 252004
970000 520 270400
975000 503 253009
980000 502 252004
985000 516 266256
990000 512 262144
995000 507 257049
1000000 499 249001
