#mu	PbyP0	Navg	Uptake[mmol/g]
-9.00	3.1139922213e+00	2027.89	20.5904944581
-9.05	2.9127207220e+00	2022.22	20.5329232370
-9.10	2.7244583164e+00	2020.46	20.5150528050
-9.15	2.5483641674e+00	2017.67	20.4867241089
-9.20	2.3836517853e+00	2001.25	20.3200011018
-9.25	2.2295855146e+00	2005.53	20.3634587431
-9.30	2.0854772486e+00	2006.11	20.3693478627
-9.35	1.9506833562e+00	1998.39	20.2909616498
-9.40	1.8246018069e+00	1985.84	20.1635332856
-9.45	1.7066694824e+00	1984.99	20.1549026793
-9.50	1.5963596610e+00	1972.84	20.0315357769
-9.55	1.4931796659e+00	1970.51	20.0078777619
-9.60	1.3966686637e+00	1967.52	19.9775183349
-9.65	1.3063956071e+00	1957.11	19.8718187914
-9.70	1.2219573094e+00	1952.68	19.8268381019
-9.75	1.1429766433e+00	1939.75	19.6955513490
-9.80	1.0691008574e+00	1911.67	19.4104367301
-9.85	1.0000000000e+00	1530.68	15.5419958958
-9.90	9.3536544571e-01	1266.86	12.8632587612
-9.95	8.7490851704e-01	1187.66	12.0590893234
-10.00	8.1835919500e-01	1124.68	11.4196121620
-10.05	7.6546491318e-01	1081.49	10.9810758234
-10.10	7.1598942970e-01	1014.71	10.3030147747
-10.15	6.6971177203e-01	991.019	10.0624645456
-10.20	6.2642525015e-01	967.081	9.8194063638
-10.25	5.8593653331e-01	919.627	9.3375748423
-10.30	5.4806478664e-01	897.776	9.1157073375
-10.35	5.1264086344e-01	869.863	8.8322883789
-10.40	4.7950654972e-01	837.478	8.5034622774
-10.45	4.4851385760e-01	825.261	8.3794150802
-10.50	4.1952436432e-01	792.714	8.0489440866
-10.55	3.9240859402e-01	774.037	7.8593042812
-10.60	3.6704543945e-01	761.155	7.7285049037
-10.65	3.4332162107e-01	737.255	7.4858325608
-10.70	3.2113118111e-01	723.553	7.3467071866
-10.75	3.0037501036e-01	712.311	7.2325598025
-10.80	2.8096040544e-01	700.77	7.1153764757
-10.85	2.6280065486e-01	679.77	6.9021497309
-10.90	2.4581465167e-01	666.317	6.7655526167
-10.95	2.2992653122e-01	652.919	6.6295139535
-11.00	2.1506533236e-01	638.025	6.4782854231
-11.05	2.0116468046e-01	624.857	6.3445821004
-11.10	1.8816249100e-01	608.081	6.1742443922
-11.15	1.7600069226e-01	597.776	6.0696109824
-11.20	1.6462496596e-01	580.863	5.8978822236
-11.25	1.5398450466e-01	571.832	5.8061845697
-11.30	1.4403178484e-01	556.901	5.6545803541
-11.35	1.3472235462e-01	539.255	5.4754089665
-11.40	1.2601463528e-01	525.398	5.3347097758
-11.45	1.1786973549e-01	512.373	5.2024584257
-11.50	1.1025127768e-01	501.596	5.0930324910
-11.55	1.0312523548e-01	487.764	4.9525871417
-11.60	9.6459781853e-02	472.677	4.7993989560
-11.65	9.0225146846e-02	458.807	4.6585677679
-11.70	8.4393484694e-02	445.932	4.5278394660
-11.75	7.8938749427e-02	429.13	4.3572377628
-11.80	7.3836578541e-02	418.882	4.2531831113
-11.85	6.9064184197e-02	409.969	4.1626835886
-11.90	6.4600251435e-02	392.596	3.9862841487
-11.95	6.0424842976e-02	379.019	3.8484279813
-12.00	5.6519310183e-02	365.379	3.7099321337
-12.05	5.2866209761e-02	348.025	3.5337256132
-12.10	4.9449225856e-02	341.447	3.4669348738
-12.15	4.6253097183e-02	325.05	3.3004454007
-12.20	4.3263548862e-02	314.28	3.1910905415
-12.25	4.0467228665e-02	299.82	3.0442686972
-12.30	3.7851647377e-02	290.472	2.9493523348
-12.35	3.5405123019e-02	275.851	2.8008957521
-12.40	3.3116728674e-02	265.006	2.6907793689
-12.45	3.0976243676e-02	252.435	2.5631377779
-12.50	2.8974107973e-02	244.155	2.4790655186
-12.55	2.7101379418e-02	232.124	2.3569069011
-12.60	2.5349693839e-02	219.54	2.2291333126
-12.65	2.3711227676e-02	210.217	2.1344707916
-12.70	2.2178663044e-02	201.329	2.0442251102
-12.75	2.0745155044e-02	193.329	1.9629958741
-12.80	1.9404301194e-02	185.963	1.8882040549
-12.85	1.8150112835e-02	176.429	1.7913991127
-12.90	1.6976988381e-02	166.012	1.6856284936
-12.95	1.5879688304e-02	160.447	1.6291234063
-13.00	1.4853311729e-02	157.267	1.5968347849
-13.05	1.3893274545e-02	147.106	1.4936635013
-13.10	1.2995288937e-02	142.484	1.4467333102
-13.15	1.2155344229e-02	134.491	1.3655751496
-13.20	1.1369688973e-02	128.503	1.3047750664
-13.25	1.0634814194e-02	121.752	1.2362277447
-13.30	9.9474377183e-03	118.522	1.2034314406
-13.35	9.3044895151e-03	112.671	1.1440224081
-13.40	8.7030979824e-03	108.286	1.0994986330
-13.45	8.1405771234e-03	104.826	1.0643669884
-13.50	7.6144145494e-03	100.174	1.0171321876
-13.55	7.1222602589e-03	95.5404	0.9700842140
-13.60	6.6619161415e-03	92.9752	0.9440380594
-13.65	6.2313261610e-03	88.4969	0.8985669484
-13.70	5.8285671720e-03	85.3043	0.8661503910
-13.75	5.4518403307e-03	82.0559	0.8331672597
-13.80	5.0994630609e-03	78.8571	0.8006877496
-13.85	4.7698615389e-03	77.0435	0.7822730818
-13.90	4.4615636643e-03	73.913	0.7504870663
-13.95	4.1731924854e-03	71.6646	0.7276575895
-14.00	3.9034600492e-03	68.0124	0.6905744125
-14.05	3.6511616487e-03	65.8696	0.6688171616
-14.10	3.4151704429e-03	63.2236	0.6419505917
-14.15	3.1944324235e-03	60.9565	0.6189312416
-14.20	2.9879617076e-03	59.4161	0.6032905521
-14.25	2.7948361345e-03	57.087	0.5796416754
-14.30	2.6141931466e-03	55.2671	0.5611630395
-14.35	2.4452259377e-03	54.5093	0.5534686002
-14.40	2.2871798491e-03	51.3478	0.5213678214
-14.45	2.1393489990e-03	50.7453	0.5152502446
-14.50	2.0010731300e-03	48.7826	0.4953216668
-14.55	1.8717346601e-03	47.3043	0.4803115194
-14.60	1.7507559246e-03	45.5342	0.4623385355
-14.65	1.6375965958e-03	43.7453	0.4441746629
-14.70	1.5317512697e-03	43.5155	0.4418413531
-14.75	1.4327472091e-03	41.6211	0.4226062700
-14.80	1.3401422319e-03	39.7826	0.4039387762
-14.85	1.2535227360e-03	39.1304	0.3973165627
-14.90	1.1725018527e-03	37.6087	0.3818657466
-14.95	1.0967177180e-03	36.4472	0.3700722769
-15.00	1.0258318572e-03	36.1677	0.3672343305
-15.05	9.5952767230e-04	34.5528	0.3508371938
-15.10	8.9750902888e-04	33.1739	0.3368363196
-15.15	8.3949893283e-04	32.4534	0.3295206115
-15.20	7.8523829348e-04	31.1491	0.3162771999
-15.25	7.3448476637e-04	30.2795	0.3074475819
-15.30	6.8701167087e-04	28.9689	0.2941402023
-15.35	6.4260697773e-04	28.4534	0.2889059934
-15.40	6.0107236215e-04	28.0994	0.2853115997
-15.45	5.6222231793e-04	25.9814	0.2638061595
-15.50	5.2588332900e-04	25.5776	0.2597061138
-15.55	4.9189309442e-04	24.2112	0.2458321602
-15.60	4.6009980351e-04	24.3168	0.2469043862
-15.65	4.3036145778e-04	23.6025	0.2396516307
-15.70	4.0254523677e-04	22.9752	0.2332822433
-15.75	3.7652690481e-04	21.7578	0.2209211842
-15.80	3.5219025615e-04	21.0062	0.2132896975
-15.85	3.2942659592e-04	20.4161	0.2072980260
-15.90	3.0813425472e-04	19.795	0.2009915912
-15.95	2.8821813450e-04	19.1118	0.1940546144
-16.00	2.6958928384e-04	17.9627	0.1823870500
-16.05	2.5216450064e-04	18.2112	0.1849102331
-16.10	2.3586596054e-04	16.8571	0.1711611696
