# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 34 1156
205000 34 1156
210000 35 1225
215000 35 1225
220000 35 1225
225000 44 1936
230000 35 1225
235000 38 1444
240000 41 1681
245000 37 1369
250000 37 1369
255000 34 1156
260000 36 1296
265000 28 784
270000 33 1089
275000 31 961
280000 31 961
285000 32 1024
290000 31 961
295000 35 1225
300000 38 1444
305000 45 2025
310000 39 1521
315000 42 1764
320000 37 1369
325000 39 1521
330000 41 1681
335000 37 1369
340000 41 1681
345000 39 1521
350000 35 1225
355000 33 1089
360000 40 1600
365000 36 1296
370000 30 900
375000 30 900
380000 32 1024
385000 36 1296
390000 34 1156
395000 42 1764
400000 36 1296
405000 40 1600
410000 29 841
415000 39 1521
420000 40 1600
425000 33 1089
430000 33 1089
435000 27 729
440000 36 1296
445000 32 1024
450000 34 1156
455000 34 1156
460000 43 1849
465000 36 1296
470000 29 841
475000 36 1296
480000 34 1156
485000 35 1225
490000 42 1764
495000 35 1225
500000 38 1444
505000 34 1156
510000 37 1369
515000 38 1444
520000 36 1296
525000 42 1764
530000 31 961
535000 41 1681
540000 35 1225
545000 35 1225
550000 27 729
555000 32 1024
560000 26 676
565000 29 841
570000 31 961
575000 32 1024
580000 37 1369
585000 34 1156
590000 36 1296
595000 28 784
600000 35 1225
605000 41 1681
610000 39 1521
615000 37 1369
620000 35 1225
625000 35 1225
630000 38 1444
635000 38 1444
640000 32 1024
645000 43 1849
650000 35 1225
655000 42 1764
660000 35 1225
665000 42 1764
670000 35 1225
675000 38 1444
680000 31 961
685000 39 1521
690000 44 1936
695000 37 1369
700000 36 1296
705000 35 1225
710000 36 1296
715000 46 2116
720000 36 1296
725000 33 1089
730000 43 1849
735000 40 1600
740000 31 961
745000 35 1225
750000 36 1296
755000 37 1369
760000 33 1089
765000 34 1156
770000 44 1936
775000 27 729
780000 42 1764
785000 37 1369
790000 34 1156
795000 33 1089
800000 30 900
805000 38 1444
810000 30 900
815000 33 1089
820000 33 1089
825000 40 1600
830000 39 1521
835000 37 1369
840000 39 1521
845000 38 1444
850000 37 1369
855000 32 1024
860000 36 1296
865000 44 1936
870000 34 1156
875000 35 1225
880000 37 1369
885000 40 1600
890000 40 1600
895000 38 1444
900000 38 1444
905000 40 1600
910000 35 1225
915000 33 1089
920000 37 1369
925000 49 2401
930000 28 784
935000 36 1296
940000 38 1444
945000 39 1521
950000 32 1024
955000 30 900
960000 39 1521
965000 46 2116
970000 36 1296
975000 40 1600
980000 37 1369
985000 45 2025
990000 38 1444
995000 40 1600
1000000 34 1156
