# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 409 167281
205000 427 182329
210000 446 198916
215000 419 175561
220000 419 175561
225000 415 172225
230000 418 174724
235000 418 174724
240000 426 181476
245000 406 164836
250000 386 148996
255000 409 167281
260000 402 161604
265000 414 171396
270000 411 168921
275000 421 177241
280000 394 155236
285000 400 160000
290000 414 171396
295000 417 173889
300000 424 179776
305000 406 164836
310000 385 148225
315000 401 160801
320000 396 156816
325000 398 158404
330000 407 165649
335000 417 173889
340000 419 175561
345000 415 172225
350000 407 165649
355000 424 179776
360000 443 196249
365000 416 173056
370000 420 176400
375000 433 187489
380000 430 184900
385000 413 170569
390000 419 175561
395000 407 165649
400000 406 164836
405000 399 159201
410000 404 163216
415000 415 172225
420000 407 165649
425000 396 156816
430000 392 153664
435000 390 152100
440000 399 159201
445000 397 157609
450000 384 147456
455000 418 174724
460000 409 167281
465000 424 179776
470000 416 173056
475000 418 174724
480000 408 166464
485000 425 180625
490000 408 166464
495000 400 160000
500000 405 164025
505000 392 153664
510000 398 158404
515000 414 171396
520000 428 183184
525000 431 185761
530000 404 163216
535000 415 172225
540000 419 175561
545000 409 167281
550000 412 169744
555000 421 177241
560000 393 154449
565000 387 149769
570000 396 156816
575000 411 168921
580000 414 171396
585000 414 171396
590000 416 173056
595000 403 162409
600000 404 163216
605000 396 156816
610000 422 178084
615000 417 173889
620000 427 182329
625000 423 178929
630000 419 175561
635000 414 171396
640000 395 156025
645000 374 139876
650000 389 151321
655000 409 167281
660000 400 160000
665000 406 164836
670000 409 167281
675000 404 163216
680000 411 168921
685000 416 173056
690000 394 155236
695000 401 160801
700000 357 127449
705000 418 174724
710000 419 175561
715000 421 177241
720000 445 198025
725000 445 198025
730000 445 198025
735000 437 190969
740000 438 191844
745000 443 196249
750000 432 186624
755000 420 176400
760000 438 191844
765000 436 190096
770000 427 182329
775000 419 175561
780000 414 171396
785000 404 163216
790000 411 168921
795000 411 168921
800000 409 167281
805000 419 175561
810000 401 160801
815000 404 163216
820000 403 162409
825000 374 139876
830000 386 148996
835000 394 155236
840000 408 166464
845000 393 154449
850000 374 139876
855000 401 160801
860000 393 154449
865000 401 160801
870000 401 160801
875000 401 160801
880000 375 140625
885000 385 148225
890000 410 168100
895000 411 168921
900000 405 164025
905000 409 167281
910000 402 161604
915000 412 169744
920000 418 174724
925000 439 192721
930000 424 179776
935000 409 167281
940000 410 168100
945000 419 175561
950000 421 177241
955000 406 164836
960000 403 162409
965000 401 160801
970000 403 162409
975000 402 161604
980000 418 174724
985000 400 160000
990000 403 162409
995000 406 164836
1000000 394 155236
