# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 192 36864
205000 198 39204
210000 174 30276
215000 177 31329
220000 199 39601
225000 207 42849
230000 201 40401
235000 176 30976
240000 184 33856
245000 176 30976
250000 197 38809
255000 183 33489
260000 198 39204
265000 206 42436
270000 192 36864
275000 206 42436
280000 194 37636
285000 192 36864
290000 189 35721
295000 202 40804
300000 188 35344
305000 169 28561
310000 177 31329
315000 178 31684
320000 175 30625
325000 173 29929
330000 182 33124
335000 175 30625
340000 181 32761
345000 186 34596
350000 196 38416
355000 192 36864
360000 179 32041
365000 189 35721
370000 175 30625
375000 170 28900
380000 177 31329
385000 188 35344
390000 173 29929
395000 178 31684
400000 182 33124
405000 175 30625
410000 174 30276
415000 186 34596
420000 181 32761
425000 185 34225
430000 179 32041
435000 179 32041
440000 171 29241
445000 170 28900
450000 196 38416
455000 204 41616
460000 192 36864
465000 210 44100
470000 202 40804
475000 205 42025
480000 199 39601
485000 185 34225
490000 198 39204
495000 188 35344
500000 185 34225
505000 190 36100
510000 196 38416
515000 181 32761
520000 195 38025
525000 185 34225
530000 189 35721
535000 188 35344
540000 188 35344
545000 202 40804
550000 184 33856
555000 190 36100
560000 206 42436
565000 206 42436
570000 187 34969
575000 170 28900
580000 197 38809
585000 206 42436
590000 205 42025
595000 197 38809
600000 199 39601
605000 210 44100
610000 204 41616
615000 192 36864
620000 196 38416
625000 187 34969
630000 191 36481
635000 186 34596
640000 189 35721
645000 186 34596
650000 185 34225
655000 204 41616
660000 211 44521
665000 201 40401
670000 207 42849
675000 180 32400
680000 188 35344
685000 193 37249
690000 207 42849
695000 211 44521
700000 216 46656
705000 210 44100
710000 210 44100
715000 199 39601
720000 191 36481
725000 189 35721
730000 206 42436
735000 200 40000
740000 205 42025
745000 199 39601
750000 197 38809
755000 192 36864
760000 191 36481
765000 195 38025
770000 202 40804
775000 186 34596
780000 188 35344
785000 184 33856
790000 189 35721
795000 195 38025
800000 192 36864
805000 200 40000
810000 182 33124
815000 187 34969
820000 207 42849
825000 194 37636
830000 183 33489
835000 171 29241
840000 186 34596
845000 208 43264
850000 208 43264
855000 189 35721
860000 208 43264
865000 203 41209
870000 214 45796
875000 201 40401
880000 212 44944
885000 193 37249
890000 194 37636
895000 222 49284
900000 226 51076
905000 207 42849
910000 197 38809
915000 188 35344
920000 208 43264
925000 202 40804
930000 191 36481
935000 181 32761
940000 187 34969
945000 206 42436
950000 207 42849
955000 213 45369
960000 208 43264
965000 239 57121
970000 227 51529
975000 207 42849
980000 191 36481
985000 188 35344
990000 182 33124
995000 190 36100
1000000 204 41616
