# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 85 7225
205000 92 8464
210000 77 5929
215000 86 7396
220000 87 7569
225000 85 7225
230000 82 6724
235000 78 6084
240000 90 8100
245000 76 5776
250000 91 8281
255000 85 7225
260000 91 8281
265000 107 11449
270000 98 9604
275000 96 9216
280000 91 8281
285000 95 9025
290000 77 5929
295000 75 5625
300000 80 6400
305000 79 6241
310000 87 7569
315000 89 7921
320000 81 6561
325000 79 6241
330000 82 6724
335000 86 7396
340000 85 7225
345000 84 7056
350000 96 9216
355000 85 7225
360000 75 5625
365000 94 8836
370000 90 8100
375000 80 6400
380000 87 7569
385000 96 9216
390000 86 7396
395000 84 7056
400000 83 6889
405000 72 5184
410000 83 6889
415000 88 7744
420000 81 6561
425000 86 7396
430000 90 8100
435000 77 5929
440000 86 7396
445000 89 7921
450000 79 6241
455000 106 11236
460000 81 6561
465000 85 7225
470000 83 6889
475000 81 6561
480000 84 7056
485000 90 8100
490000 88 7744
495000 87 7569
500000 82 6724
505000 66 4356
510000 81 6561
515000 82 6724
520000 86 7396
525000 84 7056
530000 83 6889
535000 91 8281
540000 86 7396
545000 87 7569
550000 87 7569
555000 86 7396
560000 81 6561
565000 78 6084
570000 84 7056
575000 79 6241
580000 91 8281
585000 88 7744
590000 90 8100
595000 90 8100
600000 92 8464
605000 85 7225
610000 100 10000
615000 77 5929
620000 90 8100
625000 72 5184
630000 86 7396
635000 85 7225
640000 82 6724
645000 82 6724
650000 88 7744
655000 83 6889
660000 75 5625
665000 87 7569
670000 97 9409
675000 83 6889
680000 84 7056
685000 89 7921
690000 79 6241
695000 79 6241
700000 96 9216
705000 89 7921
710000 78 6084
715000 80 6400
720000 94 8836
725000 87 7569
730000 89 7921
735000 85 7225
740000 78 6084
745000 82 6724
750000 75 5625
755000 83 6889
760000 83 6889
765000 72 5184
770000 86 7396
775000 97 9409
780000 82 6724
785000 92 8464
790000 84 7056
795000 89 7921
800000 88 7744
805000 83 6889
810000 83 6889
815000 91 8281
820000 89 7921
825000 80 6400
830000 93 8649
835000 84 7056
840000 77 5929
845000 83 6889
850000 81 6561
855000 93 8649
860000 78 6084
865000 83 6889
870000 92 8464
875000 90 8100
880000 92 8464
885000 86 7396
890000 81 6561
895000 81 6561
900000 88 7744
905000 81 6561
910000 85 7225
915000 80 6400
920000 84 7056
925000 78 6084
930000 84 7056
935000 83 6889
940000 85 7225
945000 91 8281
950000 70 4900
955000 80 6400
960000 90 8100
965000 76 5776
970000 98 9604
975000 90 8100
980000 102 10404
985000 101 10201
990000 81 6561
995000 80 6400
1000000 93 8649
