# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 649 421201
205000 625 390625
210000 660 435600
215000 637 405769
220000 626 391876
225000 643 413449
230000 622 386884
235000 605 366025
240000 608 369664
245000 621 385641
250000 632 399424
255000 641 410881
260000 636 404496
265000 639 408321
270000 650 422500
275000 644 414736
280000 646 417316
285000 640 409600
290000 633 400689
295000 630 396900
300000 623 388129
305000 620 384400
310000 618 381924
315000 623 388129
320000 626 391876
325000 628 394384
330000 634 401956
335000 638 407044
340000 636 404496
345000 651 423801
350000 661 436921
355000 644 414736
360000 640 409600
365000 631 398161
370000 642 412164
375000 640 409600
380000 619 383161
385000 622 386884
390000 634 401956
395000 625 390625
400000 619 383161
405000 638 407044
410000 638 407044
415000 634 401956
420000 636 404496
425000 641 410881
430000 628 394384
435000 629 395641
440000 642 412164
445000 636 404496
450000 645 416025
455000 641 410881
460000 636 404496
465000 655 429025
470000 630 396900
475000 630 396900
480000 636 404496
485000 634 401956
490000 629 395641
495000 622 386884
500000 616 379456
505000 626 391876
510000 640 409600
515000 636 404496
520000 634 401956
525000 644 414736
530000 654 427716
535000 653 426409
540000 680 462400
545000 652 425104
550000 650 422500
555000 652 425104
560000 654 427716
565000 644 414736
570000 632 399424
575000 646 417316
580000 640 409600
585000 627 393129
590000 629 395641
595000 624 389376
600000 612 374544
605000 652 425104
610000 645 416025
615000 633 400689
620000 647 418609
625000 626 391876
630000 621 385641
635000 665 442225
640000 636 404496
645000 612 374544
650000 633 400689
655000 631 398161
660000 644 414736
665000 647 418609
670000 643 413449
675000 641 410881
680000 630 396900
685000 643 413449
690000 621 385641
695000 631 398161
700000 642 412164
705000 636 404496
710000 668 446224
715000 647 418609
720000 635 403225
725000 624 389376
730000 622 386884
735000 615 378225
740000 624 389376
745000 608 369664
750000 621 385641
755000 606 367236
760000 599 358801
765000 598 357604
770000 616 379456
775000 629 395641
780000 625 390625
785000 644 414736
790000 643 413449
795000 626 391876
800000 642 412164
805000 636 404496
810000 629 395641
815000 642 412164
820000 643 413449
825000 639 408321
830000 630 396900
835000 614 376996
840000 636 404496
845000 644 414736
850000 646 417316
855000 659 434281
860000 648 419904
865000 655 429025
870000 648 419904
875000 635 403225
880000 652 425104
885000 635 403225
890000 642 412164
895000 642 412164
900000 648 419904
905000 671 450241
910000 657 431649
915000 649 421201
920000 648 419904
925000 643 413449
930000 636 404496
935000 639 408321
940000 626 391876
945000 641 410881
950000 658 432964
955000 640 409600
960000 658 432964
965000 648 419904
970000 650 422500
975000 643 413449
980000 637 405769
985000 606 367236
990000 614 376996
995000 610 372100
1000000 619 383161
