# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 53 2809
205000 60 3600
210000 52 2704
215000 60 3600
220000 58 3364
225000 52 2704
230000 51 2601
235000 55 3025
240000 59 3481
245000 57 3249
250000 58 3364
255000 54 2916
260000 52 2704
265000 52 2704
270000 54 2916
275000 55 3025
280000 47 2209
285000 57 3249
290000 59 3481
295000 57 3249
300000 51 2601
305000 47 2209
310000 50 2500
315000 51 2601
320000 48 2304
325000 59 3481
330000 52 2704
335000 53 2809
340000 56 3136
345000 64 4096
350000 53 2809
355000 60 3600
360000 62 3844
365000 57 3249
370000 54 2916
375000 53 2809
380000 54 2916
385000 56 3136
390000 58 3364
395000 61 3721
400000 52 2704
405000 58 3364
410000 62 3844
415000 60 3600
420000 57 3249
425000 61 3721
430000 55 3025
435000 55 3025
440000 55 3025
445000 48 2304
450000 55 3025
455000 59 3481
460000 57 3249
465000 45 2025
470000 51 2601
475000 53 2809
480000 51 2601
485000 66 4356
490000 47 2209
495000 44 1936
500000 51 2601
505000 49 2401
510000 56 3136
515000 56 3136
520000 48 2304
525000 47 2209
530000 54 2916
535000 53 2809
540000 49 2401
545000 55 3025
550000 54 2916
555000 44 1936
560000 55 3025
565000 54 2916
570000 54 2916
575000 46 2116
580000 51 2601
585000 55 3025
590000 49 2401
595000 46 2116
600000 54 2916
605000 58 3364
610000 57 3249
615000 56 3136
620000 43 1849
625000 47 2209
630000 51 2601
635000 61 3721
640000 51 2601
645000 50 2500
650000 48 2304
655000 48 2304
660000 57 3249
665000 51 2601
670000 45 2025
675000 54 2916
680000 56 3136
685000 57 3249
690000 60 3600
695000 45 2025
700000 44 1936
705000 51 2601
710000 52 2704
715000 50 2500
720000 66 4356
725000 61 3721
730000 55 3025
735000 58 3364
740000 58 3364
745000 58 3364
750000 46 2116
755000 58 3364
760000 45 2025
765000 59 3481
770000 54 2916
775000 57 3249
780000 63 3969
785000 58 3364
790000 56 3136
795000 59 3481
800000 61 3721
805000 61 3721
810000 58 3364
815000 62 3844
820000 51 2601
825000 44 1936
830000 49 2401
835000 42 1764
840000 54 2916
845000 57 3249
850000 53 2809
855000 55 3025
860000 47 2209
865000 54 2916
870000 53 2809
875000 57 3249
880000 50 2500
885000 58 3364
890000 55 3025
895000 48 2304
900000 56 3136
905000 49 2401
910000 61 3721
915000 60 3600
920000 57 3249
925000 62 3844
930000 49 2401
935000 50 2500
940000 49 2401
945000 62 3844
950000 50 2500
955000 49 2401
960000 49 2401
965000 55 3025
970000 61 3721
975000 55 3025
980000 54 2916
985000 57 3249
990000 53 2809
995000 57 3249
1000000 50 2500
