# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 96 9216
205000 82 6724
210000 101 10201
215000 97 9409
220000 90 8100
225000 107 11449
230000 90 8100
235000 100 10000
240000 109 11881
245000 82 6724
250000 91 8281
255000 78 6084
260000 88 7744
265000 79 6241
270000 79 6241
275000 76 5776
280000 96 9216
285000 106 11236
290000 104 10816
295000 105 11025
300000 101 10201
305000 92 8464
310000 87 7569
315000 90 8100
320000 89 7921
325000 111 12321
330000 84 7056
335000 102 10404
340000 100 10000
345000 96 9216
350000 92 8464
355000 86 7396
360000 92 8464
365000 85 7225
370000 92 8464
375000 95 9025
380000 102 10404
385000 111 12321
390000 92 8464
395000 84 7056
400000 85 7225
405000 91 8281
410000 85 7225
415000 84 7056
420000 84 7056
425000 84 7056
430000 91 8281
435000 92 8464
440000 101 10201
445000 90 8100
450000 97 9409
455000 92 8464
460000 94 8836
465000 91 8281
470000 100 10000
475000 99 9801
480000 84 7056
485000 86 7396
490000 99 9801
495000 85 7225
500000 94 8836
505000 97 9409
510000 91 8281
515000 89 7921
520000 87 7569
525000 91 8281
530000 89 7921
535000 91 8281
540000 102 10404
545000 98 9604
550000 100 10000
555000 95 9025
560000 96 9216
565000 83 6889
570000 74 5476
575000 86 7396
580000 80 6400
585000 84 7056
590000 92 8464
595000 89 7921
600000 96 9216
605000 94 8836
610000 94 8836
615000 93 8649
620000 82 6724
625000 93 8649
630000 91 8281
635000 107 11449
640000 100 10000
645000 93 8649
650000 88 7744
655000 92 8464
660000 75 5625
665000 83 6889
670000 97 9409
675000 86 7396
680000 88 7744
685000 80 6400
690000 75 5625
695000 76 5776
700000 91 8281
705000 91 8281
710000 95 9025
715000 90 8100
720000 86 7396
725000 91 8281
730000 85 7225
735000 99 9801
740000 82 6724
745000 94 8836
750000 95 9025
755000 98 9604
760000 95 9025
765000 88 7744
770000 92 8464
775000 99 9801
780000 97 9409
785000 86 7396
790000 90 8100
795000 82 6724
800000 88 7744
805000 110 12100
810000 113 12769
815000 107 11449
820000 81 6561
825000 93 8649
830000 73 5329
835000 92 8464
840000 99 9801
845000 91 8281
850000 92 8464
855000 81 6561
860000 90 8100
865000 84 7056
870000 81 6561
875000 98 9604
880000 90 8100
885000 99 9801
890000 93 8649
895000 96 9216
900000 93 8649
905000 106 11236
910000 102 10404
915000 95 9025
920000 97 9409
925000 92 8464
930000 81 6561
935000 86 7396
940000 97 9409
945000 90 8100
950000 97 9409
955000 95 9025
960000 88 7744
965000 85 7225
970000 93 8649
975000 104 10816
980000 97 9409
985000 88 7744
990000 89 7921
995000 91 8281
1000000 91 8281
