# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 467 218089
205000 465 216225
210000 461 212521
215000 435 189225
220000 457 208849
225000 445 198025
230000 446 198916
235000 459 210681
240000 462 213444
245000 469 219961
250000 448 200704
255000 450 202500
260000 461 212521
265000 446 198916
270000 451 203401
275000 450 202500
280000 441 194481
285000 449 201601
290000 468 219024
295000 462 213444
300000 454 206116
305000 446 198916
310000 454 206116
315000 462 213444
320000 485 235225
325000 464 215296
330000 448 200704
335000 433 187489
340000 443 196249
345000 431 185761
350000 431 185761
355000 443 196249
360000 454 206116
365000 427 182329
370000 422 178084
375000 407 165649
380000 422 178084
385000 410 168100
390000 424 179776
395000 434 188356
400000 452 204304
405000 452 204304
410000 445 198025
415000 464 215296
420000 446 198916
425000 434 188356
430000 440 193600
435000 454 206116
440000 451 203401
445000 451 203401
450000 462 213444
455000 437 190969
460000 429 184041
465000 452 204304
470000 433 187489
475000 443 196249
480000 423 178929
485000 427 182329
490000 416 173056
495000 422 178084
500000 429 184041
505000 444 197136
510000 442 195364
515000 470 220900
520000 467 218089
525000 459 210681
530000 449 201601
535000 457 208849
540000 462 213444
545000 444 197136
550000 461 212521
555000 442 195364
560000 457 208849
565000 452 204304
570000 443 196249
575000 437 190969
580000 432 186624
585000 440 193600
590000 422 178084
595000 441 194481
600000 437 190969
605000 443 196249
610000 455 207025
615000 451 203401
620000 439 192721
625000 424 179776
630000 428 183184
635000 441 194481
640000 442 195364
645000 440 193600
650000 424 179776
655000 430 184900
660000 443 196249
665000 432 186624
670000 454 206116
675000 437 190969
680000 436 190096
685000 447 199809
690000 434 188356
695000 447 199809
700000 445 198025
705000 459 210681
710000 451 203401
715000 447 199809
720000 451 203401
725000 442 195364
730000 440 193600
735000 437 190969
740000 438 191844
745000 444 197136
750000 438 191844
755000 444 197136
760000 448 200704
765000 460 211600
770000 442 195364
775000 447 199809
780000 447 199809
785000 453 205209
790000 449 201601
795000 426 181476
800000 431 185761
805000 452 204304
810000 450 202500
815000 437 190969
820000 425 180625
825000 451 203401
830000 452 204304
835000 449 201601
840000 444 197136
845000 449 201601
850000 440 193600
855000 428 183184
860000 441 194481
865000 434 188356
870000 443 196249
875000 453 205209
880000 430 184900
885000 432 186624
890000 445 198025
895000 439 192721
900000 445 198025
905000 435 189225
910000 433 187489
915000 403 162409
920000 433 187489
925000 431 185761
930000 441 194481
935000 440 193600
940000 433 187489
945000 423 178929
950000 450 202500
955000 440 193600
960000 429 184041
965000 438 191844
970000 448 200704
975000 460 211600
980000 468 219024
985000 486 236196
990000 475 225625
995000 452 204304
1000000 449 201601
