#mu	PbyP0	Navg	Uptake[mmol/g]
-9.00	3.1139922213e+00	2018.18	20.4919024727
-9.05	2.9127207220e+00	2028.69	20.5986173817
-9.10	2.7244583164e+00	2016.12	20.4709859444
-9.15	2.5483641674e+00	2020.78	20.5183019745
-9.20	2.3836517853e+00	2012.61	20.4353466171
-9.25	2.2295855146e+00	1997.55	20.2824325800
-9.30	2.0854772486e+00	1990.59	20.2117631446
-9.35	1.9506833562e+00	1987.77	20.1831298389
-9.40	1.8246018069e+00	1980.51	20.1094143071
-9.45	1.7066694824e+00	1978.43	20.0882947057
-9.50	1.5963596610e+00	1983.77	20.1425152208
-9.55	1.4931796659e+00	1976.95	20.0732672970
-9.60	1.3966686637e+00	1970.98	20.0126499795
-9.65	1.3063956071e+00	1958.71	19.8880646386
-9.70	1.2219573094e+00	1951.43	19.8141460337
-9.75	1.1429766433e+00	1928.17	19.5779720297
-9.80	1.0691008574e+00	1849.53	18.7794886385
-9.85	1.0000000000e+00	1692.96	17.1897309508
-9.90	9.3536544571e-01	1262.14	12.8153335118
-9.95	8.7490851704e-01	1178.57	11.9667926039
-10.00	8.1835919500e-01	1108.5	11.2553260319
-10.05	7.6546491318e-01	1079.16	10.9574178084
-10.10	7.1598942970e-01	1025.16	10.4091204644
-10.15	6.6971177203e-01	982.783	9.9788390470
-10.20	6.2642525015e-01	965.13	9.7995965838
-10.25	5.8593653331e-01	920.534	9.3467842070
-10.30	5.4806478664e-01	895.584	9.0934505268
-10.35	5.1264086344e-01	857.043	8.7021185280
-10.40	4.7950654972e-01	844.075	8.5704459363
-10.45	4.4851385760e-01	816.758	8.2930785558
-10.50	4.1952436432e-01	795.429	8.0765112586
-10.55	3.9240859402e-01	776.106	7.8803121924
-10.60	3.6704543945e-01	760.273	7.7195493805
-10.65	3.4332162107e-01	746.155	7.5762000860
-10.70	3.2113118111e-01	727.484	7.3866212025
-10.75	3.0037501036e-01	703.727	7.1454008321
-10.80	2.8096040544e-01	697.435	7.0815140379
-10.85	2.6280065486e-01	680.609	6.9106686470
-10.90	2.4581465167e-01	664.851	6.7506673592
-10.95	2.2992653122e-01	652.609	6.6263663206
-11.00	2.1506533236e-01	635.857	6.4562723001
-11.05	2.0116468046e-01	623.317	6.3289454725
-11.10	1.8816249100e-01	611.106	6.2049591971
-11.15	1.7600069226e-01	592.161	6.0125982123
-11.20	1.6462496596e-01	581.261	5.9019233781
-11.25	1.5398450466e-01	563.155	5.7180813094
-11.30	1.4403178484e-01	557.137	5.6569766165
-11.35	1.3472235462e-01	541.273	5.4958990413
-11.40	1.2601463528e-01	525.174	5.3324353572
-11.45	1.1786973549e-01	511.497	5.1935638244
-11.50	1.1025127768e-01	503.211	5.1094306431
-11.55	1.0312523548e-01	485.689	4.9315183086
-11.60	9.6459781853e-02	474.503	4.8179395292
-11.65	9.0225146846e-02	460.13	4.6720010528
-11.70	8.4393484694e-02	444.087	4.5091059734
-11.75	7.8938749427e-02	432.404	4.3904808277
-11.80	7.3836578541e-02	415.317	4.2169853330
-11.85	6.9064184197e-02	405.696	4.1192970228
-11.90	6.4600251435e-02	391.87	3.9789125955
-11.95	6.0424842976e-02	376.764	3.8255314904
-12.00	5.6519310183e-02	365.199	3.7081044759
-12.05	5.2866209761e-02	352.019	3.5742793094
-12.10	4.9449225856e-02	338.05	3.4324429094
-12.15	4.6253097183e-02	321.925	3.2687152303
-12.20	4.3263548862e-02	314.578	3.1941163306
-12.25	4.0467228665e-02	298.758	3.0334855161
-12.30	3.7851647377e-02	286.118	2.9051433230
-12.35	3.5405123019e-02	276.919	2.8117398551
-12.40	3.3116728674e-02	265.77	2.6985367609
-12.45	3.0976243676e-02	255.174	2.5909486377
-12.50	2.8974107973e-02	240.317	2.4400957925
-12.55	2.7101379418e-02	228.317	2.3182519383
-12.60	2.5349693839e-02	222.006	2.2541722247
-12.65	2.3711227676e-02	213.273	2.1655003598
-12.70	2.2178663044e-02	203.193	2.0631515222
-12.75	2.0745155044e-02	193.826	1.9680422404
-12.80	1.9404301194e-02	187.814	1.9069984694
-12.85	1.8150112835e-02	177.317	1.8004155580
-12.90	1.6976988381e-02	168.497	1.7108603251
-12.95	1.5879688304e-02	161.696	1.6418053207
-13.00	1.4853311729e-02	154.82	1.5719887923
-13.05	1.3893274545e-02	145.453	1.4768795104
-13.10	1.2995288937e-02	141.422	1.4359501291
-13.15	1.2155344229e-02	135.273	1.3735153075
-13.20	1.1369688973e-02	127.988	1.2995459343
-13.25	1.0634814194e-02	121.609	1.2347757721
-13.30	9.9474377183e-03	119.292	1.2112497546
-13.35	9.3044895151e-03	114.323	1.1607962453
-13.40	8.7030979824e-03	108.478	1.1014481347
-13.45	8.1405771234e-03	102.963	1.0454507300
-13.50	7.6144145494e-03	99.8137	1.0134738258
-13.55	7.1222602589e-03	96.5839	0.9806795525
-13.60	6.6619161415e-03	91.7888	0.9319917637
-13.65	6.2313261610e-03	89.3292	0.9070178351
-13.70	5.8285671720e-03	85.9752	0.8729624778
-13.75	5.4518403307e-03	81.6894	0.8294459453
-13.80	5.0994630609e-03	78.1366	0.7933720415
-13.85	4.7698615389e-03	76.1739	0.7734434638
-13.90	4.4615636643e-03	73	0.7412167797
-13.95	4.1731924854e-03	70.1056	0.7118280421
-14.00	3.9034600492e-03	67.7143	0.6875476080
-14.05	3.6511616487e-03	65.5839	0.6659162625
-14.10	3.4151704429e-03	63.6211	0.6459866694
-14.15	3.1944324235e-03	60.9814	0.6191840676
-14.20	2.9879617076e-03	58.3478	0.5924434030
-14.25	2.7948361345e-03	57.2112	0.5809027593
-14.30	2.6141931466e-03	55.6398	0.5649473066
-14.35	2.4452259377e-03	53.9689	0.5479815653
