# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 210 44100
205000 214 45796
210000 214 45796
215000 206 42436
220000 227 51529
225000 208 43264
230000 194 37636
235000 210 44100
240000 199 39601
245000 202 40804
250000 190 36100
255000 208 43264
260000 200 40000
265000 219 47961
270000 217 47089
275000 216 46656
280000 200 40000
285000 215 46225
290000 247 61009
295000 238 56644
300000 218 47524
305000 219 47961
310000 219 47961
315000 227 51529
320000 200 40000
325000 217 47089
330000 225 50625
335000 216 46656
340000 229 52441
345000 216 46656
350000 218 47524
355000 230 52900
360000 211 44521
365000 195 38025
370000 220 48400
375000 215 46225
380000 217 47089
385000 210 44100
390000 220 48400
395000 224 50176
400000 220 48400
405000 225 50625
410000 230 52900
415000 222 49284
420000 228 51984
425000 245 60025
430000 228 51984
435000 213 45369
440000 223 49729
445000 201 40401
450000 223 49729
455000 218 47524
460000 200 40000
465000 217 47089
470000 198 39204
475000 201 40401
480000 217 47089
485000 213 45369
490000 208 43264
495000 206 42436
500000 202 40804
505000 221 48841
510000 230 52900
515000 213 45369
520000 211 44521
525000 206 42436
530000 203 41209
535000 200 40000
540000 213 45369
545000 193 37249
550000 209 43681
555000 193 37249
560000 212 44944
565000 205 42025
570000 211 44521
575000 210 44100
580000 211 44521
585000 216 46656
590000 204 41616
595000 195 38025
600000 198 39204
605000 211 44521
610000 204 41616
615000 204 41616
620000 199 39601
625000 206 42436
630000 189 35721
635000 183 33489
640000 208 43264
645000 196 38416
650000 205 42025
655000 203 41209
660000 200 40000
665000 215 46225
670000 202 40804
675000 218 47524
680000 221 48841
685000 209 43681
690000 226 51076
695000 220 48400
700000 234 54756
705000 225 50625
710000 232 53824
715000 209 43681
720000 230 52900
725000 227 51529
730000 229 52441
735000 214 45796
740000 211 44521
745000 204 41616
750000 213 45369
755000 222 49284
760000 228 51984
765000 228 51984
770000 212 44944
775000 199 39601
780000 217 47089
785000 223 49729
790000 207 42849
795000 215 46225
800000 204 41616
805000 206 42436
810000 199 39601
815000 212 44944
820000 195 38025
825000 210 44100
830000 200 40000
835000 222 49284
840000 195 38025
845000 214 45796
850000 219 47961
855000 234 54756
860000 199 39601
865000 205 42025
870000 224 50176
875000 212 44944
880000 219 47961
885000 221 48841
890000 215 46225
895000 208 43264
900000 220 48400
905000 231 53361
910000 204 41616
915000 230 52900
920000 220 48400
925000 230 52900
930000 222 49284
935000 236 55696
940000 222 49284
945000 215 46225
950000 229 52441
955000 196 38416
960000 195 38025
965000 216 46656
970000 221 48841
975000 207 42849
980000 213 45369
985000 214 45796
990000 212 44944
995000 207 42849
1000000 214 45796
