# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 66 4356
205000 75 5625
210000 64 4096
215000 75 5625
220000 65 4225
225000 78 6084
230000 67 4489
235000 56 3136
240000 62 3844
245000 49 2401
250000 66 4356
255000 60 3600
260000 66 4356
265000 58 3364
270000 53 2809
275000 58 3364
280000 65 4225
285000 65 4225
290000 62 3844
295000 61 3721
300000 61 3721
305000 66 4356
310000 66 4356
315000 70 4900
320000 63 3969
325000 75 5625
330000 63 3969
335000 66 4356
340000 70 4900
345000 57 3249
350000 66 4356
355000 71 5041
360000 69 4761
365000 73 5329
370000 60 3600
375000 70 4900
380000 61 3721
385000 69 4761
390000 70 4900
395000 70 4900
400000 71 5041
405000 67 4489
410000 70 4900
415000 72 5184
420000 67 4489
425000 70 4900
430000 52 2704
435000 63 3969
440000 71 5041
445000 58 3364
450000 64 4096
455000 58 3364
460000 56 3136
465000 50 2500
470000 68 4624
475000 60 3600
480000 66 4356
485000 58 3364
490000 56 3136
495000 52 2704
500000 69 4761
505000 76 5776
510000 70 4900
515000 67 4489
520000 66 4356
525000 67 4489
530000 56 3136
535000 63 3969
540000 68 4624
545000 57 3249
550000 58 3364
555000 61 3721
560000 61 3721
565000 64 4096
570000 65 4225
575000 66 4356
580000 66 4356
585000 70 4900
590000 68 4624
595000 71 5041
600000 67 4489
605000 71 5041
610000 71 5041
615000 67 4489
620000 58 3364
625000 57 3249
630000 63 3969
635000 70 4900
640000 60 3600
645000 66 4356
650000 69 4761
655000 61 3721
660000 68 4624
665000 71 5041
670000 66 4356
675000 74 5476
680000 67 4489
685000 78 6084
690000 68 4624
695000 69 4761
700000 69 4761
705000 70 4900
710000 70 4900
715000 75 5625
720000 57 3249
725000 59 3481
730000 59 3481
735000 72 5184
740000 64 4096
745000 70 4900
750000 68 4624
755000 63 3969
760000 69 4761
765000 75 5625
770000 73 5329
775000 62 3844
780000 68 4624
785000 59 3481
790000 55 3025
795000 70 4900
800000 63 3969
805000 67 4489
810000 54 2916
815000 60 3600
820000 64 4096
825000 60 3600
830000 63 3969
835000 68 4624
840000 60 3600
845000 67 4489
850000 64 4096
855000 75 5625
860000 67 4489
865000 72 5184
870000 59 3481
875000 64 4096
880000 60 3600
885000 76 5776
890000 69 4761
895000 65 4225
900000 68 4624
905000 62 3844
910000 67 4489
915000 72 5184
920000 70 4900
925000 76 5776
930000 72 5184
935000 60 3600
940000 72 5184
945000 71 5041
950000 59 3481
955000 71 5041
960000 70 4900
965000 62 3844
970000 78 6084
975000 69 4761
980000 70 4900
985000 70 4900
990000 61 3721
995000 64 4096
1000000 65 4225
