#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
1.0000 1.10658295e-07 -1.98922528e-07 -2.15630469e-07 -3.11509463e-07 -2.28470045e-08 1.17692535e-07 -6.15404164e-07 -5.20558633e-07 5.94072586e-01 -1.67271771e-01 -5.55450970e-01 -4.91549180e-01 -4.73876270e-02 2.88176510e-01 -6.20199336e-01 -3.79410453e-01
1.0100 1.10581541e-07 -1.56667663e-07 -2.47090875e-07 -3.71603744e-07 2.11630923e-08 1.52780300e-07 -6.64780740e-07 -4.90837348e-07 5.93691224e-01 -1.31714260e-01 -6.36461337e-01 -5.86368326e-01 4.39016659e-02 3.74099497e-01 -7.60852699e-01 -3.42851536e-01
1.0200 1.12314031e-07 -8.01397069e-08 -2.77517286e-07 -4.27542037e-07 7.14703995e-08 1.83318251e-07 -6.72885000e-07 -4.18096350e-07 6.02998065e-01 -6.73636911e-02 -7.14803617e-01 -6.74630061e-01 1.48235265e-01 4.48884614e-01 -8.53799304e-01 -2.56679424e-01
1.0300 1.16705157e-07 1.39378125e-08 -3.04785236e-07 -4.74513407e-07 1.19916859e-07 2.06716976e-07 -6.48655674e-07 -3.22021840e-07 6.26544614e-01 1.17250382e-02 -7.85009602e-01 -7.48747182e-01 2.48698420e-01 5.06194071e-01 -8.95487132e-01 -1.40594640e-01
1.0400 1.23530414e-07 1.10239799e-07 -3.27337116e-07 -5.10828077e-07 1.60755860e-07 2.23108241e-07 -6.04394981e-07 -2.20530879e-07 6.63126365e-01 9.26744063e-02 -8.43069336e-01 -8.06054225e-01 3.33377960e-01 5.46350544e-01 -8.93322789e-01 -1.35942853e-02
1.0500 1.31501524e-07 1.97636107e-07 -3.43537704e-07 -5.36219536e-07 1.91164988e-07 2.33994371e-07 -5.50619608e-07 -1.25460249e-07 7.05837399e-01 1.66132852e-01 -8.84771651e-01 -8.46128359e-01 3.96424481e-01 5.73029732e-01 -8.58929759e-01 1.10524454e-01
1.0600 1.38657645e-07 2.69107423e-07 -3.51449619e-07 -5.50254599e-07 2.10534644e-07 2.40743908e-07 -4.93939150e-07 -4.26605971e-08 7.44167770e-01 2.26202638e-01 -9.05126709e-01 -8.68281762e-01 4.36576635e-01 5.89577654e-01 -8.03038064e-01 2.23116225e-01
1.0700 1.42995099e-07 3.19787499e-07 -3.49188624e-07 -5.51646141e-07 2.19113275e-07 2.43605065e-07 -4.38052167e-07 2.46661727e-08 7.67379342e-01 2.68793917e-01 -8.99281975e-01 -8.70478992e-01 4.54351816e-01 5.96596636e-01 -7.33587708e-01 3.17360743e-01
1.0800 1.43118987e-07 3.44932116e-07 -3.35703741e-07 -5.38736601e-07 2.16810746e-07 2.41603169e-07 -3.86389238e-07 7.20246768e-08 7.67998644e-01 2.89918286e-01 -8.64531911e-01 -8.50101712e-01 4.49565079e-01 5.91696139e-01 -6.56716693e-01 3.84544525e-01
1.0900 1.38701604e-07 3.39436298e-07 -3.11593449e-07 -5.10824481e-07 2.02809975e-07 2.33268451e-07 -3.44280028e-07 9.17983983e-08 7.44273754e-01 2.85284316e-01 -8.02420036e-01 -8.06042972e-01 4.20524076e-01 5.71276365e-01 -5.78904938e-01 4.12895503e-01
1.1000 1.30604828e-07 2.99515512e-07 -2.79517532e-07 -4.69594759e-07 1.76195626e-07 2.17781104e-07 -3.18991951e-07 7.49847790e-08 7.00829748e-01 2.51711892e-01 -7.19799039e-01 -7.40964457e-01 3.65332670e-01 5.33332645e-01 -5.08221856e-01 3.90443459e-01
1.1100 1.20638615e-07 2.25848310e-07 -2.43914720e-07 -4.19850068e-07 1.37280311e-07 1.95959393e-07 -3.17277863e-07 1.59618411e-08 6.47373399e-01 1.89774210e-01 -6.28102707e-01 -6.62449413e-01 2.84640521e-01 4.79874365e-01 -4.53404511e-01 3.11110375e-01
1.1200 1.11045007e-07 1.26488205e-07 -2.10023433e-07 -3.69035407e-07 8.89280943e-08 1.70604262e-07 -3.41525629e-07 -8.19932726e-08 5.95926579e-01 1.06244790e-01 -5.40823104e-01 -5.82251175e-01 1.84386843e-01 4.17767220e-01 -4.20902910e-01 1.81251153e-01
1.1300 1.03878361e-07 1.76723685e-08 -1.82504312e-07 -3.25570200e-07 3.71099356e-08 1.46000205e-07 -3.86523782e-07 -2.03413642e-07 5.57503604e-01 1.47758275e-02 -4.69962529e-01 -5.13659618e-01 7.69516182e-02 3.57508998e-01 -4.11342716e-01 2.31179000e-02
1.1400 1.00474031e-07 -7.86038717e-08 -1.64151290e-07 -2.96526007e-07 -9.79172489e-09 1.26731998e-07 -4.38807138e-07 -3.21866865e-07 5.39262937e-01 -6.61422051e-02 -4.22714032e-01 -4.67835461e-01 -2.02865287e-02 3.10330309e-01 -4.17428761e-01 -1.27384981e-01
1.1500 1.01156878e-07 -1.40016143e-07 -1.55172352e-07 -2.85499024e-07 -4.28964180e-08 1.16263032e-07 -4.79530640e-07 -4.06164026e-07 5.42944735e-01 -1.17745171e-01 -3.99609617e-01 -4.50452646e-01 -8.89175181e-02 2.84712315e-01 -4.24862700e-01 -2.29067903e-01
1.1600 1.05255837e-07 -1.50713928e-07 -1.53320680e-07 -2.91497228e-07 -5.53884213e-08 1.15822297e-07 -4.90275999e-07 -4.29842123e-07 5.64949143e-01 -1.26713608e-01 -3.94858865e-01 -4.59942601e-01 -1.14812856e-01 2.83661290e-01 -4.16565932e-01 -2.47717498e-01
1.1700 1.11392181e-07 -1.07044929e-07 -1.54839530e-07 -3.09304191e-07 -4.48270471e-08 1.24029567e-07 -4.59796469e-07 -3.80593949e-07 5.97881826e-01 -8.99833331e-02 -3.98783242e-01 -4.88069252e-01 -9.29148511e-02 3.03791799e-01 -3.78954001e-01 -1.68077053e-01
