# Q S_total_mean S_total_se
1.6200000000e+00 1.2760692200e+00 2.0393759257e-03
1.6300000000e+00 1.4175564300e+00 2.0929947569e-03
1.6400000000e+00 1.5581847360e+00 2.2456526340e-03
1.6500000000e+00 1.6860676940e+00 2.4510208966e-03
1.6600000000e+00 1.7907857700e+00 2.6790862195e-03
1.6700000000e+00 1.8649869780e+00 2.9162039908e-03
1.6800000000e+00 1.9057173260e+00 3.1514665580e-03
1.6900000000e+00 1.9152498320e+00 3.3629358741e-03
1.7000000000e+00 1.9011110060e+00 3.5132234635e-03
1.7100000000e+00 1.8750522240e+00 3.5601727391e-03
1.7200000000e+00 1.8509226460e+00 3.4813475950e-03
1.7300000000e+00 1.8417316000e+00 3.3052885525e-03
1.7400000000e+00 1.8565288520e+00 3.1370590654e-03
1.7500000000e+00 1.8979361980e+00 3.1432415712e-03
1.7600000000e+00 1.9611190520e+00 3.4454456798e-03
1.7700000000e+00 2.0346618500e+00 4.0098094815e-03
1.7800000000e+00 2.1032821060e+00 4.6955806404e-03
1.7900000000e+00 2.1517481120e+00 5.3540602925e-03
1.8000000000e+00 2.1689488140e+00 5.8601741772e-03
1.8100000000e+00 2.1509554300e+00 6.1127682713e-03
1.8200000000e+00 2.1021681860e+00 6.0428573653e-03
1.8300000000e+00 2.0341897420e+00 5.6361625713e-03
1.8400000000e+00 1.9627386900e+00 4.9615651248e-03
1.8500000000e+00 1.9034962800e+00 4.1934225141e-03
1.8600000000e+00 1.8680814480e+00 3.5993295906e-03
1.8700000000e+00 1.8612806760e+00 3.4039173349e-03
1.8800000000e+00 1.8802504920e+00 3.5557517451e-03
1.8900000000e+00 1.9158022220e+00 3.8000788197e-03
1.9000000000e+00 1.9552698920e+00 3.9597249386e-03
1.9100000000e+00 1.9860428940e+00 4.0110417806e-03
1.9200000000e+00 1.9987317720e+00 4.0141879643e-03
1.9300000000e+00 1.9891402060e+00 4.0210906217e-03
1.9400000000e+00 1.9586462520e+00 4.0291226719e-03
1.9500000000e+00 1.9130964840e+00 4.0083956213e-03
1.9600000000e+00 1.8607247340e+00 3.9539591269e-03
1.9700000000e+00 1.8098073720e+00 3.8969250708e-03
1.9800000000e+00 1.7667250440e+00 3.8635489030e-03
1.9900000000e+00 1.7348648140e+00 3.8299837074e-03
2.0000000000e+00 1.7144720580e+00 3.7278417419e-03
2.0100000000e+00 1.7032672900e+00 3.4929908599e-03
2.0200000000e+00 1.6974697180e+00 3.1079515498e-03
2.0300000000e+00 1.6928500160e+00 2.6131170115e-03
2.0400000000e+00 1.6855442880e+00 2.0917677769e-03
2.0500000000e+00 1.6725306300e+00 1.6375483467e-03
2.0600000000e+00 1.6518222160e+00 1.3087107308e-03
2.0700000000e+00 1.6225087640e+00 1.1015688480e-03
2.0800000000e+00 1.5847658580e+00 1.0211877643e-03
2.0900000000e+00 1.5398735760e+00 1.1804201075e-03
2.1000000000e+00 1.4901937440e+00 1.6440580641e-03
2.1100000000e+00 1.4390016820e+00 2.2936715975e-03
2.1200000000e+00 1.3900843140e+00 2.9592608751e-03
2.1300000000e+00 1.3470990980e+00 3.4862881617e-03
2.1400000000e+00 1.3128020040e+00 3.7559942899e-03
2.1500000000e+00 1.2883465300e+00 3.7068219030e-03
2.1600000000e+00 1.2728835340e+00 3.3505113697e-03
2.1700000000e+00 1.2636329500e+00 2.7755694978e-03
2.1800000000e+00 1.2564668320e+00 2.1390965451e-03
2.1900000000e+00 1.2468819960e+00 1.6483478115e-03
2.2000000000e+00 1.2311070000e+00 1.4756667309e-03
2.2100000000e+00 1.2070321200e+00 1.5740624889e-03
2.2200000000e+00 1.1746949120e+00 1.7632192971e-03
2.2300000000e+00 1.1361863220e+00 1.9455285716e-03
2.2400000000e+00 1.0950193860e+00 2.0855253328e-03
2.2500000000e+00 1.0551648380e+00 2.1469949606e-03
2.2600000000e+00 1.0200516420e+00 2.0897974793e-03
2.2700000000e+00 9.9182515520e-01 1.8999859080e-03
2.2800000000e+00 9.7105564680e-01 1.6148557377e-03
2.2900000000e+00 9.5693220260e-01 1.3248453396e-03
2.3000000000e+00 9.4781687620e-01 1.1331362031e-03
2.3100000000e+00 9.4192644980e-01 1.0579332614e-03
2.3200000000e+00 9.3788884700e-01 1.0045792134e-03
2.3300000000e+00 9.3499121180e-01 8.8970392047e-04
2.3400000000e+00 9.3306788440e-01 7.3712091956e-04
2.3500000000e+00 9.3211906280e-01 7.0155488555e-04
2.3600000000e+00 9.3185231720e-01 8.9101841862e-04
2.3700000000e+00 9.3136323100e-01 1.1762758933e-03
2.3800000000e+00 9.2911132600e-01 1.4199502261e-03
2.3900000000e+00 9.2322737620e-01 1.5612474598e-03
2.4000000000e+00 9.1205442500e-01 1.5906932252e-03
2.4100000000e+00 8.9472819140e-01 1.5277547866e-03
2.4200000000e+00 8.7157970560e-01 1.4003438264e-03
2.4300000000e+00 8.4420270700e-01 1.2310275263e-03
2.4400000000e+00 8.1514819120e-01 1.0424577142e-03
2.4500000000e+00 7.8734312100e-01 8.8642804130e-04
2.4600000000e+00 7.6342858500e-01 8.5900941297e-04
2.4700000000e+00 7.4523682660e-01 9.9773751935e-04
2.4800000000e+00 7.3356702060e-01 1.2015417470e-03
2.4900000000e+00 7.2829924480e-01 1.3486369741e-03
2.5000000000e+00 7.2875177840e-01 1.3676352558e-03
2.5100000000e+00 7.3409237880e-01 1.2457402969e-03
2.5200000000e+00 7.4359896660e-01 1.0330440731e-03
2.5300000000e+00 7.5663836520e-01 8.4528120484e-04
2.5400000000e+00 7.7236711400e-01 8.0725692909e-04
2.5500000000e+00 7.8930278360e-01 8.8833214752e-04
2.5600000000e+00 8.0500704340e-01 9.5071473449e-04
2.5700000000e+00 8.1611843040e-01 9.3076817270e-04
2.5800000000e+00 8.1886370420e-01 8.7882040141e-04
2.5900000000e+00 8.0999367300e-01 9.2844526443e-04
2.6000000000e+00 7.8789691180e-01 1.1404633290e-03
2.6100000000e+00 7.5351787660e-01 1.4179087717e-03
2.6200000000e+00 7.1070241220e-01 1.6401954020e-03
2.6300000000e+00 6.6573083440e-01 1.7331346537e-03
2.6400000000e+00 6.2604333380e-01 1.6726511176e-03
2.6500000000e+00 5.9843828520e-01 1.4858730896e-03
2.6600000000e+00 5.8723656480e-01 1.2636246180e-03
2.6700000000e+00 5.9297344160e-01 1.1690895049e-03
2.6800000000e+00 6.1206715640e-01 1.3193801182e-03
2.6900000000e+00 6.3764285800e-01 1.6179941368e-03
2.7000000000e+00 6.6134082080e-01 1.8934324401e-03
2.7100000000e+00 6.7561958160e-01 2.0260667694e-03
2.7200000000e+00 6.7588433300e-01 1.9515067173e-03
2.7300000000e+00 6.6179461900e-01 1.6543338812e-03
2.7400000000e+00 6.3733470340e-01 1.1731619624e-03
2.7500000000e+00 6.0959883960e-01 6.5793537791e-04
2.7600000000e+00 5.8663839720e-01 6.8004551442e-04
2.7700000000e+00 5.7501315900e-01 1.2539292930e-03
2.7800000000e+00 5.7778925520e-01 1.8361915313e-03
2.7900000000e+00 5.9359656280e-01 2.2777344061e-03
2.8000000000e+00 6.1703750920e-01 2.5308446578e-03
2.8100000000e+00 6.4032671060e-01 2.5920150579e-03
2.8200000000e+00 6.5566554140e-01 2.4884716964e-03
2.8300000000e+00 6.5763402480e-01 2.2659871328e-03
2.8400000000e+00 6.4488152060e-01 1.9754793433e-03
2.8500000000e+00 6.2061484480e-01 1.6605596116e-03
2.8600000000e+00 5.9174723920e-01 1.3491388297e-03
2.8700000000e+00 5.6696972640e-01 1.0520395931e-03
2.8800000000e+00 5.5431668720e-01 7.6932627273e-04
2.8900000000e+00 5.5892987940e-01 5.0228575741e-04
2.9000000000e+00 5.8164707600e-01 2.8126641394e-04
2.9100000000e+00 6.1878536700e-01 2.6911900458e-04
2.9200000000e+00 6.6313884420e-01 4.8713174674e-04
2.9300000000e+00 7.0587274720e-01 7.6099682958e-04
2.9400000000e+00 7.3876747000e-01 1.0401570448e-03
2.9500000000e+00 7.5620365680e-01 1.2917045282e-03
2.9600000000e+00 7.5638896760e-01 1.4756859039e-03
2.9700000000e+00 7.4156333440e-01 1.5516194542e-03
2.9800000000e+00 7.1720638560e-01 1.4929465539e-03
2.9900000000e+00 6.9052521400e-01 1.3026242552e-03
3.0000000000e+00 6.6865784320e-01 1.0297315864e-03
3.0100000000e+00 6.5705661200e-01 7.9688334154e-04
3.0200000000e+00 6.5842359660e-01 7.8616019076e-04
3.0300000000e+00 6.7239549980e-01 9.9002562013e-04
3.0400000000e+00 6.9597263580e-01 1.2274692266e-03
3.0500000000e+00 7.2450956140e-01 1.3922096730e-03
3.0600000000e+00 7.5297290620e-01 1.4482410146e-03
3.0700000000e+00 7.7714277040e-01 1.3904177225e-03
3.0800000000e+00 7.9448330260e-01 1.2267205409e-03
3.0900000000e+00 8.0451450220e-01 9.7712334390e-04
3.1000000000e+00 8.0865034620e-01 6.9311446881e-04
3.1100000000e+00 8.0959618620e-01 5.1851021004e-04
3.1200000000e+00 8.1049394040e-01 6.2856642401e-04
3.1300000000e+00 8.1404893020e-01 8.6854202392e-04
3.1400000000e+00 8.2186031360e-01 1.0533249955e-03
3.1500000000e+00 8.3411287340e-01 1.1153024797e-03
3.1600000000e+00 8.4968718680e-01 1.0510895612e-03
3.1700000000e+00 8.6663222480e-01 9.0432531748e-04
3.1800000000e+00 8.8284732460e-01 7.5383157329e-04
3.1900000000e+00 8.9676502000e-01 6.7992441896e-04
3.2000000000e+00 9.0782885300e-01 6.9643084107e-04
3.2100000000e+00 9.1662252080e-01 7.5242666041e-04
3.2200000000e+00 9.2461291880e-01 8.1459961696e-04
3.2300000000e+00 9.3358996460e-01 8.8292594409e-04
3.2400000000e+00 9.4498420300e-01 9.5514420528e-04
3.2500000000e+00 9.5928730120e-01 1.0069702314e-03
3.2600000000e+00 9.7577403580e-01 1.0048872687e-03
3.2700000000e+00 9.9263247660e-01 9.2880725570e-04
3.2800000000e+00 1.0074787360e+00 7.9017957120e-04
3.2900000000e+00 1.0181049200e+00 6.5485126937e-04
3.3000000000e+00 1.0232259740e+00 6.5595889882e-04
3.3100000000e+00 1.0229820600e+00 8.4894429079e-04
3.3200000000e+00 1.0190235480e+00 1.1258613959e-03
3.3300000000e+00 1.0141347540e+00 1.3804573210e-03
3.3400000000e+00 1.0114991180e+00 1.5488995141e-03
3.3500000000e+00 1.0138247040e+00 1.5983902765e-03
3.3600000000e+00 1.0225958460e+00 1.5267446349e-03
3.3700000000e+00 1.0376785700e+00 1.3687783148e-03
3.3800000000e+00 1.0573961200e+00 1.2081575304e-03
3.3900000000e+00 1.0790432960e+00 1.1765573722e-03
3.4000000000e+00 1.0996728940e+00 1.3634592389e-03
3.4100000000e+00 1.1169083020e+00 1.7200791146e-03
3.4200000000e+00 1.1295377940e+00 2.1462589466e-03
3.4300000000e+00 1.1377254300e+00 2.5642611692e-03
3.4400000000e+00 1.1428017820e+00 2.9179091466e-03
3.4500000000e+00 1.1467310000e+00 3.1660268849e-03
3.4600000000e+00 1.1514448620e+00 3.2841616310e-03
3.4700000000e+00 1.1582609640e+00 3.2685751346e-03
3.4800000000e+00 1.1675562900e+00 3.1365383831e-03
3.4900000000e+00 1.1787698960e+00 2.9201076857e-03
3.5000000000e+00 1.1906951100e+00 2.6546932376e-03
3.5100000000e+00 1.2019327140e+00 2.3676926196e-03
3.5200000000e+00 1.2113391020e+00 2.0743566967e-03
3.5300000000e+00 1.2183260080e+00 1.7842738087e-03
3.5400000000e+00 1.2229367800e+00 1.5141783537e-03
3.5500000000e+00 1.2257098740e+00 1.2971688675e-03
3.5600000000e+00 1.2274111840e+00 1.1753181356e-03
3.5700000000e+00 1.2287489340e+00 1.1672155239e-03
3.5800000000e+00 1.2301717460e+00 1.2441307558e-03
3.5900000000e+00 1.2318020600e+00 1.3564758495e-03
3.6000000000e+00 1.2334966340e+00 1.4673728330e-03
3.6100000000e+00 1.2349783380e+00 1.5582349792e-03
3.6200000000e+00 1.2359663360e+00 1.6230237353e-03
3.6300000000e+00 1.2362484880e+00 1.6646248276e-03
3.6400000000e+00 1.2356795860e+00 1.6925778603e-03
3.6500000000e+00 1.2341317160e+00 1.7165858767e-03
3.6600000000e+00 1.2314490860e+00 1.7355925149e-03
3.6700000000e+00 1.2274568040e+00 1.7318749282e-03
3.6800000000e+00 1.2220436440e+00 1.6791864550e-03
3.6900000000e+00 1.2152958200e+00 1.5611627735e-03
3.7000000000e+00 1.2076226060e+00 1.3883418874e-03
3.7100000000e+00 1.1998028900e+00 1.2036559230e-03
3.7200000000e+00 1.1929021240e+00 1.0656762343e-03
3.7300000000e+00 1.1880554800e+00 1.0045141474e-03
3.7400000000e+00 1.1861682120e+00 9.9810065058e-04
3.7500000000e+00 1.1876258040e+00 1.0230343739e-03
3.7600000000e+00 1.1921158620e+00 1.1046884531e-03
3.7700000000e+00 1.1986352620e+00 1.2801882321e-03
3.7800000000e+00 1.2056971260e+00 1.5257281173e-03
3.7900000000e+00 1.2116840280e+00 1.7635069453e-03
3.8000000000e+00 1.2152410380e+00 1.9178046298e-03
