# Q S_total_mean S_total_se
5.6400000000e+00 1.0625491460e+00 6.1421195217e-04
5.6500000000e+00 1.0596034680e+00 5.5968758638e-04
5.6600000000e+00 1.0549906600e+00 5.7960643032e-04
5.6700000000e+00 1.0492520380e+00 6.9771443899e-04
5.6800000000e+00 1.0432119880e+00 8.8767020946e-04
5.6900000000e+00 1.0377324920e+00 1.0910138448e-03
5.7000000000e+00 1.0334845780e+00 1.2504049450e-03
5.7100000000e+00 1.0308015800e+00 1.3251107056e-03
5.7200000000e+00 1.0296449020e+00 1.2992877550e-03
5.7300000000e+00 1.0296737640e+00 1.1862976267e-03
5.7400000000e+00 1.0303802080e+00 1.0281892375e-03
5.7500000000e+00 1.0312381120e+00 8.8722179320e-04
5.7600000000e+00 1.0318216800e+00 8.1728304774e-04
5.7700000000e+00 1.0318689000e+00 8.1820885789e-04
5.7800000000e+00 1.0312892320e+00 8.3894922013e-04
5.7900000000e+00 1.0301327220e+00 8.3167668066e-04
5.8000000000e+00 1.0285444500e+00 7.7798323026e-04
5.8100000000e+00 1.0267230500e+00 6.8521133638e-04
5.8200000000e+00 1.0248907680e+00 5.7730968987e-04
5.8300000000e+00 1.0232710860e+00 4.8516476186e-04
5.8400000000e+00 1.0220649060e+00 4.3050905993e-04
5.8500000000e+00 1.0214192480e+00 4.0682390440e-04
5.8600000000e+00 1.0213914300e+00 3.8648130488e-04
5.8700000000e+00 1.0219208460e+00 3.5090860227e-04
5.8800000000e+00 1.0228246460e+00 3.1078136726e-04
5.8900000000e+00 1.0238285740e+00 3.1031762507e-04
5.9000000000e+00 1.0246321500e+00 3.8288539776e-04
5.9100000000e+00 1.0249917760e+00 5.0155998163e-04
5.9200000000e+00 1.0247944760e+00 6.2349344077e-04
5.9300000000e+00 1.0240936840e+00 7.1810729150e-04
5.9400000000e+00 1.0230893140e+00 7.6395928309e-04
5.9500000000e+00 1.0220540040e+00 7.4504073170e-04
5.9600000000e+00 1.0212289400e+00 6.5141077535e-04
5.9700000000e+00 1.0207268300e+00 4.8490465818e-04
5.9800000000e+00 1.0204807420e+00 2.8123563534e-04
5.9900000000e+00 1.0202627320e+00 2.4533298301e-04
6.0000000000e+00 1.0197712400e+00 4.8351926051e-04
6.0100000000e+00 1.0187589020e+00 7.4717030098e-04
6.0200000000e+00 1.0171540740e+00 9.4953976068e-04
6.0300000000e+00 1.0151273540e+00 1.0539266410e-03
6.0400000000e+00 1.0130708880e+00 1.0489648354e-03
6.0500000000e+00 1.0114883740e+00 9.4763239251e-04
6.0600000000e+00 1.0108269040e+00 7.8428176656e-04
6.0700000000e+00 1.0113060600e+00 6.0796358399e-04
6.0800000000e+00 1.0128054460e+00 4.7131686966e-04
6.0900000000e+00 1.0148557480e+00 4.0610579813e-04
6.1000000000e+00 1.0167454760e+00 3.9496895752e-04
6.1100000000e+00 1.0177162280e+00 3.9827261212e-04
6.1200000000e+00 1.0171876920e+00 3.9572800121e-04
6.1300000000e+00 1.0149406080e+00 3.8425933307e-04
6.1400000000e+00 1.0111970380e+00 3.6674885328e-04
6.1500000000e+00 1.0065690060e+00 3.5276937841e-04
6.1600000000e+00 1.0018885240e+00 3.6176455825e-04
6.1700000000e+00 9.9797034640e-01 4.0919893629e-04
6.1800000000e+00 9.9538025620e-01 4.8718419407e-04
6.1900000000e+00 9.9427964360e-01 5.7359119236e-04
6.2000000000e+00 9.9439206320e-01 6.5063596912e-04
6.2100000000e+00 9.9509843520e-01 7.1076034528e-04
6.2200000000e+00 9.9562751420e-01 7.5379985651e-04
6.2300000000e+00 9.9528048720e-01 7.8157855483e-04
6.2400000000e+00 9.9362154500e-01 7.9430161611e-04
6.2500000000e+00 9.9058131160e-01 7.9106896065e-04
6.2600000000e+00 9.8645077660e-01 7.7356109070e-04
6.2700000000e+00 9.8177879680e-01 7.5045613141e-04
6.2800000000e+00 9.7721414460e-01 7.4023525488e-04
6.2900000000e+00 9.7334494280e-01 7.6755035176e-04
6.3000000000e+00 9.7058160660e-01 8.4789272833e-04
6.3100000000e+00 9.6910833900e-01 9.7211311243e-04
6.3200000000e+00 9.6890164360e-01 1.1099958892e-03
6.3300000000e+00 9.6979233660e-01 1.2253362518e-03
6.3400000000e+00 9.7153756700e-01 1.2879704561e-03
6.3500000000e+00 9.7387375560e-01 1.2809811811e-03
6.3600000000e+00 9.7653676880e-01 1.2042518032e-03
6.3700000000e+00 9.7925466060e-01 1.0739881038e-03
6.3800000000e+00 9.8173268640e-01 9.1756339962e-04
6.3900000000e+00 9.8365409040e-01 7.6378809121e-04
6.4000000000e+00 9.8471206760e-01 6.3070840027e-04
6.4100000000e+00 9.8467207740e-01 5.1791685442e-04
6.4200000000e+00 9.8344636560e-01 4.1226446947e-04
6.4300000000e+00 9.8115177540e-01 3.0481954528e-04
6.4400000000e+00 9.7812267540e-01 2.1467120009e-04
6.4500000000e+00 9.7486361900e-01 2.2261999244e-04
6.4600000000e+00 9.7194674300e-01 3.5245888398e-04
6.4700000000e+00 9.6987943340e-01 5.3050742574e-04
6.4800000000e+00 9.6898056340e-01 7.1474668533e-04
6.4900000000e+00 9.6930353320e-01 8.7826839842e-04
6.5000000000e+00 9.7063086200e-01 9.9849329658e-04
6.5100000000e+00 9.7254273460e-01 1.0601576966e-03
6.5200000000e+00 9.7453831160e-01 1.0606596982e-03
6.5300000000e+00 9.7617210760e-01 1.0131960210e-03
6.5400000000e+00 9.7716391380e-01 9.4514504859e-04
6.5500000000e+00 9.7745087320e-01 8.8986316919e-04
6.5600000000e+00 9.7717049740e-01 8.7224525971e-04
6.5700000000e+00 9.7658647420e-01 8.9680124743e-04
6.5800000000e+00 9.7598689980e-01 9.5010491960e-04
6.5900000000e+00 9.7559116000e-01 1.0115449449e-03
6.6000000000e+00 9.7549529640e-01 1.0591345070e-03
6.6100000000e+00 9.7566931480e-01 1.0715490860e-03
6.6200000000e+00 9.7599997840e-01 1.0319975265e-03
6.6300000000e+00 9.7635662660e-01 9.3356504931e-04
6.6400000000e+00 9.7665121260e-01 7.8250355730e-04
6.6500000000e+00 9.7686886200e-01 5.9761891641e-04
6.6600000000e+00 9.7705933880e-01 4.0873710191e-04
6.6700000000e+00 9.7729693920e-01 2.6912900924e-04
6.6800000000e+00 9.7762967080e-01 2.7432969534e-04
6.6900000000e+00 9.7804286140e-01 4.0308620844e-04
6.7000000000e+00 9.7845596180e-01 5.5745337161e-04
6.7100000000e+00 9.7875687680e-01 6.9407541123e-04
6.7200000000e+00 9.7886146400e-01 7.9065354546e-04
6.7300000000e+00 9.7877364200e-01 8.3673258263e-04
6.7400000000e+00 9.7861891140e-01 8.3700183067e-04
6.7500000000e+00 9.7863248000e-01 8.1055981062e-04
6.7600000000e+00 9.7909974780e-01 7.8000647354e-04
6.7700000000e+00 9.8026556560e-01 7.5488986925e-04
6.7800000000e+00 9.8224234460e-01 7.2801016688e-04
6.7900000000e+00 9.8495026300e-01 6.9448605241e-04
6.8000000000e+00 9.8811383460e-01 6.7510850668e-04
6.8100000000e+00 9.9132069800e-01 7.1143901748e-04
6.8200000000e+00 9.9412705220e-01 8.1676888161e-04
6.8300000000e+00 9.9617732260e-01 9.5071516655e-04
6.8400000000e+00 9.9729964160e-01 1.0563913719e-03
6.8500000000e+00 9.9754599720e-01 1.0930508204e-03
6.8600000000e+00 9.9716414280e-01 1.0450190812e-03
6.8700000000e+00 9.9651138900e-01 9.2034399306e-04
6.8800000000e+00 9.9594003580e-01 7.4444959355e-04
6.8900000000e+00 9.9569356560e-01 5.5073003401e-04
6.9000000000e+00 9.9584837440e-01 3.7175317568e-04
6.9100000000e+00 9.9631920820e-01 2.4120034016e-04
6.9200000000e+00 9.9692347260e-01 2.1481729254e-04
6.9300000000e+00 9.9747839760e-01 3.0142882538e-04
6.9400000000e+00 9.9789320920e-01 4.2966663332e-04
6.9500000000e+00 9.9822037400e-01 5.5310472822e-04
6.9600000000e+00 9.9864503740e-01 6.4122871590e-04
6.9700000000e+00 9.9941464860e-01 6.7051801701e-04
6.9800000000e+00 1.0007334492e+00 6.2760304887e-04
6.9900000000e+00 1.0026605820e+00 5.1370421939e-04
7.0000000000e+00 1.0050510780e+00 3.5232867221e-04
