#Q	S(Q)
1.01305 0.275524
1.04975 0.2935585
1.10025 0.2067775
1.15008 0.2243125
1.20029 0.296386
1.2487 0.2371975
1.29892 0.419119
1.34916 0.2244595
1.39973 0.1602205
1.45021 0.198292
1.49997 0.5290795
1.55018 0.4722475
1.60006 0.9070855
1.64991 1.3069405
1.70018 1.2715585
1.75 1.7597305
1.8 1.937896
1.85019 2.260585
1.89988 1.961161
1.94986 1.8956275
2.00016 2.300305
2.05005 2.1093535
2.09996 1.6099375
2.15002 1.6309285
2.20007 1.2831895
2.25012 1.157254
2.29998 1.0385815
2.34987 0.9021895
2.40001 0.8757175
2.45006 1.0257415
2.50006 1.000114
2.55005 1.15543
2.60002 1.243267
2.65008 1.080907
2.70014 0.993367
2.75017 0.9502405
2.80009 0.895582
2.85005 0.7230679
2.90001 0.74059675
2.95 0.77326735
3.00001 0.70986406
3.05 0.72248365
3.10005 0.6162241
3.15013 0.6122683
3.20007 0.7808902
3.25004 1.0208395
3.30003 1.1054965
3.35003 1.2185605
3.40002 1.124533
3.45007 1.3240345
3.50008 1.3416175
3.55011 1.3825735
3.60017 1.503244
3.65016 1.449937
3.70005 1.4305045
3.75006 1.461547
3.80014 1.426354
3.85014 1.4114035
3.90012 1.4202385
3.95009 1.288729
3.99999 1.3359985
4.05006 1.201855
4.10016 1.082578
4.15011 1.0814305
4.20012 1.010581
4.25012 0.944734
4.30017 1.0092805
4.35021 0.91213
4.40044 0.9969415
4.44988 0.8558785
4.49957 1.191832
4.5495 1.2780505
4.59934 1.373902
4.64932 1.1413105
4.69944 1.1385265
4.74917 0.8793805
4.79873 0.7594843
4.84839 0.7277833
4.89735 0.71208793
4.94259 0.7677622
4.97688 0.868576
