#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
6.0500 1.85576752e-07 1.16878235e-08 -4.60689635e-09 1.06953785e-08 -4.92035834e-10 3.32884933e-09 2.03353058e-07 2.06189872e-07 9.88350031e-01 9.79542110e-03 -1.18304684e-02 1.68326746e-02 -1.00576516e-03 8.11025910e-03 1.00314766e+00 1.01025215e+00
6.0600 1.85443211e-07 1.31667509e-08 -4.63888467e-09 1.02067496e-08 -9.84820423e-10 3.73318739e-09 2.04177827e-07 2.06926194e-07 9.87639106e-01 1.10351415e-02 -1.19105636e-02 1.60643379e-02 -2.02623426e-03 9.09792775e-03 1.00282802e+00 1.00989972e+00
6.0700 1.85343358e-07 1.48818901e-08 -4.81383616e-09 1.02060340e-08 -1.17169831e-09 4.04169533e-09 2.05617445e-07 2.08487443e-07 9.87106986e-01 1.24724944e-02 -1.23576391e-02 1.60617424e-02 -2.41540002e-03 9.85227011e-03 1.00328358e+00 1.01072045e+00
6.0800 1.85280710e-07 1.66921635e-08 -5.11594073e-09 1.05930409e-08 -1.03242374e-09 4.24500789e-09 2.07449973e-07 2.10662558e-07 9.86772357e-01 1.39888098e-02 -1.31314337e-02 1.66679899e-02 -2.13077871e-03 1.03501934e-02 1.00429772e+00 1.01251714e+00
6.0900 1.85248551e-07 1.83982937e-08 -5.50962725e-09 1.11326664e-08 -6.12346440e-10 4.36152540e-09 2.09269884e-07 2.13019063e-07 9.86599481e-01 1.54168265e-02 -1.41408396e-02 1.75141930e-02 -1.26550550e-03 1.06362214e-02 1.00538966e+00 1.01476038e+00
6.1000 1.85232423e-07 1.97750202e-08 -5.93952131e-09 1.15223347e-08 -1.19958217e-11 4.41792825e-09 2.10590257e-07 2.14996189e-07 9.86511513e-01 1.65677897e-02 -1.52437508e-02 1.81252819e-02 -2.69432982e-05 1.07750718e-02 1.00596083e+00 1.01670896e+00
6.1100 1.85214915e-07 2.06221136e-08 -6.33749280e-09 1.14876931e-08 6.34966223e-10 4.43077056e-09 2.10987229e-07 2.16052965e-07 9.86415999e-01 1.72742196e-02 -1.62651460e-02 1.80702692e-02 1.30882635e-03 1.08068637e-02 1.00549534e+00 1.01761103e+00
6.1200 1.85181188e-07 2.08175035e-08 -6.63563068e-09 1.08759759e-08 1.19039759e-09 4.39636160e-09 2.10239036e-07 2.15825795e-07 9.86234312e-01 1.74343711e-02 -1.70304242e-02 1.71089344e-02 2.45624670e-03 1.07225054e-02 1.00374719e+00 1.01692595e+00
6.1300 1.85123534e-07 2.03530614e-08 -6.78170678e-09 9.71568451e-09 1.54038231e-09 4.29260302e-09 2.08410573e-07 2.14243558e-07 9.85925835e-01 1.70420943e-02 -1.74051615e-02 1.52856762e-02 3.17969985e-03 1.04681910e-02 1.00084844e+00 1.01449633e+00
6.1400 1.85043591e-07 1.93385610e-08 -6.75249335e-09 8.22087119e-09 1.61749679e-09 4.09177561e-09 2.05850530e-07 2.11559802e-07 9.85499684e-01 1.61899994e-02 -1.73293763e-02 1.29363835e-02 3.33962791e-03 9.97655146e-03 9.97296690e-01 1.01061287e+00
6.1500 1.84951634e-07 1.79703814e-08 -6.56062627e-09 6.73548400e-09 1.41178544e-09 3.77908704e-09 2.03096873e-07 2.08287746e-07 9.85010820e-01 1.50430883e-02 -1.68352270e-02 1.06011471e-02 2.91529601e-03 9.21182511e-03 9.93819828e-01 1.00594695e+00
6.1600 1.84863255e-07 1.64744424e-08 -6.25249568e-09 5.63251359e-09 9.68424998e-10 3.36950581e-09 2.00717716e-07 2.05055646e-07 9.84542314e-01 1.37908405e-02 -1.60416625e-02 8.86592164e-03 1.99999508e-03 8.21084230e-03 9.91157413e-01 1.00136825e+00
6.1700 1.84794553e-07 1.50426175e-08 -5.89733784e-09 5.19782162e-09 3.73352325e-10 2.91575098e-09 1.99137655e-07 2.02426758e-07 9.84179676e-01 1.25938984e-02 -1.51264571e-02 8.18004659e-03 7.71317630e-04 7.10245975e-03 9.89827163e-01 9.97700941e-01
6.1800 1.84757339e-07 1.37845672e-08 -5.57042322e-09 5.53450636e-09 -2.68964105e-10 2.50314185e-09 1.98505989e-07 2.00740167e-07 9.83985371e-01 1.15437419e-02 -1.42830579e-02 8.70594616e-03 -5.54835526e-04 6.09497943e-03 9.89952001e-01 9.95492145e-01
6.1900 1.84755812e-07 1.27113844e-08 -5.33508922e-09 6.51835434e-09 -8.59681514e-10 2.23138788e-09 1.98650462e-07 2.00022168e-07 9.83981223e-01 1.06490739e-02 -1.36744339e-02 1.02490184e-02 -1.77423685e-03 5.43174628e-03 9.91204881e-01 9.94862391e-01
6.2000 1.84785649e-07 1.17556484e-08 -5.22872868e-09 7.81984624e-09 -1.32561039e-09 2.18789341e-09 1.99132415e-07 1.99994698e-07 9.84143659e-01 9.85274092e-03 -1.33970519e-02 1.22920510e-02 -2.73575377e-03 5.32606547e-03 9.92891399e-01 9.95481710e-01
6.2100 1.84835642e-07 1.08189152e-08 -5.25658225e-09 8.98799947e-09 -1.63055053e-09 2.42031604e-09 1.99385974e-07 2.00175740e-07 9.84412605e-01 9.07164141e-03 -1.34648701e-02 1.41268011e-02 -3.36476884e-03 5.89429226e-03 9.94146177e-01 9.96675700e-01
6.2200 1.84891276e-07 9.82750990e-09 -5.39469691e-09 9.57237037e-09 -1.77604374e-09 2.91693353e-09 1.98896459e-07 2.00037349e-07 9.84710591e-01 8.24356665e-03 -1.38168544e-02 1.50455821e-02 -3.66469255e-03 7.10794223e-03 9.94182886e-01 9.97626135e-01
6.2300 1.84939023e-07 8.77465626e-09 -5.60051406e-09 9.24775214e-09 -1.79269698e-09 3.60155333e-09 1.97360917e-07 1.99169773e-07 9.84965657e-01 7.36255414e-03 -1.43440843e-02 1.45371682e-02 -3.69897196e-03 8.78124080e-03 9.92521295e-01 9.97603564e-01
6.2400 1.84970000e-07 7.73256426e-09 -5.82719283e-09 7.90515251e-09 -1.72574680e-09 4.34575139e-09 1.94780524e-07 1.97400528e-07 9.85130778e-01 6.48902823e-03 -1.49264627e-02 1.24298065e-02 -3.56120481e-03 1.06009193e-02 9.89123150e-01 9.96162865e-01
6.2500 1.84981893e-07 6.82996196e-09 -6.03673550e-09 5.68274224e-09 -1.61978825e-09 4.99629987e-09 1.91457861e-07 1.94834373e-07 9.85194006e-01 5.73095425e-03 -1.54663741e-02 8.93997867e-03 -3.34355244e-03 1.21930596e-02 9.84398565e-01 9.93248072e-01
6.2600 1.84978644e-07 6.20412882e-09 -6.20760400e-09 2.92839641e-09 -1.50725199e-09 5.41116732e-09 1.87903565e-07 1.91807481e-07 9.85176691e-01 5.20360822e-03 -1.59082320e-02 4.61370873e-03 -3.11293106e-03 1.32108773e-02 9.79085776e-01 9.89183722e-01
6.2700 1.84968150e-07 5.94652435e-09 -6.33458758e-09 1.05593033e-10 -1.40346865e-09 5.49475201e-09 1.84685679e-07 1.88776963e-07 9.85121099e-01 4.98397402e-03 -1.62381715e-02 1.78854743e-04 -2.90084133e-03 1.34206815e-02 9.74045757e-01 9.84565597e-01
6.2800 1.84958820e-07 6.06372697e-09 -6.42150223e-09 -2.32938287e-09 -1.30865424e-09 5.22283835e-09 1.82271662e-07 1.86185846e-07 9.85072071e-01 5.07797114e-03 -1.64653755e-02 -3.64774532e-03 -2.70751177e-03 1.27628215e-02 9.70036921e-01 9.80092231e-01
6.2900 1.84956222e-07 6.46957349e-09 -6.46991387e-09 -4.04353836e-09 -1.21477065e-09 4.65023291e-09 1.80912344e-07 1.84347806e-07 9.85059134e-01 5.41383030e-03 -1.65932255e-02 -6.34268845e-03 -2.51611104e-03 1.13704219e-02 9.67537051e-01 9.76391362e-01
6.3000 1.84960932e-07 7.01234545e-09 -6.46858585e-09 -4.90442794e-09 -1.11377737e-09 3.89849163e-09 1.80600264e-07 1.83384978e-07 9.85085151e-01 5.86483744e-03 -1.65923248e-02 -7.69746989e-03 -2.30982115e-03 9.53956445e-03 9.66660194e-01 9.73889937e-01
6.3100 1.84968326e-07 7.52721051e-09 -6.38822199e-09 -4.99896242e-09 -1.00375884e-09 3.12640061e-09 1.81108352e-07 1.83230994e-07 9.85125295e-01 6.29323854e-03 -1.63871123e-02 -7.84816891e-03 -2.08450696e-03 7.65737179e-03 9.67183252e-01 9.72756117e-01
6.3200 1.84970381e-07 7.89415015e-09 -6.18432374e-09 -4.59185843e-09 -8.90721907e-10 2.49050710e-09 1.82088349e-07 1.83688134e-07 9.85136710e-01 6.59874013e-03 -1.58632762e-02 -7.21030981e-03 -1.85243262e-03 6.10576428e-03 9.68661864e-01 9.72915196e-01
6.3300 1.84958893e-07 8.07915141e-09 -5.80816433e-09 -4.03913849e-09 -7.85943751e-10 2.10576710e-09 1.83190741e-07 1.84510565e-07 9.85075680e-01 6.75298932e-03 -1.48959540e-02 -6.34306644e-03 -1.63678801e-03 5.16543068e-03 9.70589648e-01 9.74118291e-01
6.3400 1.84929047e-07 8.14250608e-09 -5.22293312e-09 -3.68393579e-09 -7.00752297e-10 2.01652116e-09 1.84164684e-07 1.85480453e-07 9.84916630e-01 6.80650356e-03 -1.33911427e-02 -5.78559861e-03 -1.46091953e-03 4.94493484e-03 9.72546393e-01 9.76030408e-01
6.3500 1.84882160e-07 8.21038572e-09 -4.42001291e-09 -3.76505367e-09 -6.41714531e-10 2.18546752e-09 1.84907479e-07 1.86451232e-07 9.84666631e-01 6.86484881e-03 -1.13273889e-02 -5.91335123e-03 -1.33840914e-03 5.35369578e-03 9.74290740e-01 9.78306027e-01
6.3600 1.84826614e-07 8.41979282e-09 -3.42984864e-09 -4.36289469e-09 -6.08930038e-10 2.50371014e-09 1.85453663e-07 1.87348443e-07 9.84370319e-01 7.04253621e-03 -8.78355034e-03 -6.85300202e-03 -1.26956320e-03 6.12638959e-03 9.75776303e-01 9.80633129e-01
6.3700 1.84776594e-07 8.85725109e-09 -2.32316814e-09 -5.39484385e-09 -5.98574010e-10 2.81950507e-09 1.85915833e-07 1.88136764e-07 9.84103083e-01 7.41169929e-03 -5.94177617e-03 -8.47507665e-03 -1.24666094e-03 6.89301272e-03 9.77097929e-01 9.82744281e-01
6.3800 1.84748863e-07 9.51429166e-09 -1.20105701e-09 -6.65712331e-09 -6.08644304e-10 2.97843163e-09 1.86404974e-07 1.88774761e-07 9.83953903e-01 7.96486358e-03 -3.06189767e-03 -1.04595868e-02 -1.26579367e-03 7.27688327e-03 9.78397282e-01 9.84408372e-01
6.3900 1.84758439e-07 1.02768679e-08 -1.75732540e-10 -7.89712335e-09 -6.44987196e-10 2.86466426e-09 1.86962451e-07 1.89182128e-07 9.84002416e-01 8.60614901e-03 -4.31997531e-04 -1.24095987e-02 -1.33925431e-03 6.99539134e-03 9.79766969e-01 9.85423106e-01
6.4000 1.84814388e-07 1.09534822e-08 6.53238792e-10 -8.89287074e-09 -7.23986870e-10 2.43263619e-09 1.87528238e-07 1.89236887e-07 9.84296624e-01 9.17489552e-03 1.69264148e-03 -1.39760869e-02 -1.50102605e-03 5.93734725e-03 9.81188074e-01 9.85624395e-01
