#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
1.0000 1.11647820e-07 -2.00078878e-07 -2.16210642e-07 -3.16877015e-07 -2.22050603e-08 1.20491712e-07 -6.21518716e-07 -5.23232064e-07 5.95977485e-01 -1.67699599e-01 -5.55165408e-01 -4.98594745e-01 -4.59143032e-02 2.94261976e-01 -6.25482267e-01 -3.77134594e-01
1.0100 1.11616660e-07 -1.58189690e-07 -2.47512477e-07 -3.76871580e-07 2.16665893e-08 1.55713884e-07 -6.70957087e-07 -4.93576614e-07 5.95849914e-01 -1.32560604e-01 -6.35526600e-01 -5.92990776e-01 4.48283807e-02 3.80282712e-01 -7.65228065e-01 -3.40116973e-01
1.0200 1.13379986e-07 -8.15815029e-08 -2.77866378e-07 -4.32601088e-07 7.19319798e-08 1.86358084e-07 -6.78668983e-07 -4.20378919e-07 6.05278631e-01 -6.83400019e-02 -7.13456283e-01 -6.80673702e-01 1.48774801e-01 4.55122766e-01 -8.57191356e-01 -2.53293789e-01
1.0300 1.17777666e-07 1.28984626e-08 -3.05158643e-07 -4.79239983e-07 1.20426300e-07 2.09801577e-07 -6.53722496e-07 -3.23494619e-07 6.28738429e-01 1.08457269e-02 -7.83531431e-01 -7.54055206e-01 2.49045907e-01 5.12380746e-01 -8.98002481e-01 -1.36575827e-01
1.0400 1.24575728e-07 1.09840559e-07 -3.27831624e-07 -5.15136698e-07 1.61404375e-07 2.26173892e-07 -6.08552035e-07 -2.20973768e-07 6.64980939e-01 9.20868679e-02 -8.41753925e-01 -8.10538456e-01 3.33767082e-01 5.52373641e-01 -8.95224574e-01 -9.08385141e-03
1.0500 1.32477887e-07 1.98090938e-07 -3.44229482e-07 -5.40097863e-07 1.92048422e-07 2.37001748e-07 -5.53758521e-07 -1.24708350e-07 7.07096324e-01 1.66039987e-01 -8.83870466e-01 -8.49818342e-01 3.97116308e-01 5.78827819e-01 -8.60552498e-01 1.15391629e-01
1.0600 1.39518800e-07 2.70644236e-07 -3.52371169e-07 -5.53769947e-07 2.11745749e-07 2.43692684e-07 -4.95978080e-07 -4.05396469e-08 7.44609539e-01 2.26836233e-01 -9.04790501e-01 -8.71335928e-01 4.37829629e-01 5.95177048e-01 -8.04680657e-01 2.28326021e-01
1.0700 1.43695888e-07 3.22632426e-07 -3.50313673e-07 -5.54923630e-07 2.20722918e-07 2.46533383e-07 -4.38908989e-07 2.83473110e-08 7.66848045e-01 2.70395380e-01 -8.99520419e-01 -8.73153767e-01 4.56376911e-01 6.02117872e-01 -7.35430761e-01 3.23064022e-01
1.0800 1.43622379e-07 3.49238592e-07 -3.36949254e-07 -5.41918554e-07 2.18844294e-07 2.44573640e-07 -3.86006837e-07 7.74110971e-08 7.66422478e-01 2.92678336e-01 -8.65212180e-01 -8.52688465e-01 4.52478226e-01 5.97327647e-01 -6.58799831e-01 3.91006042e-01
1.0900 1.38985918e-07 3.45186429e-07 -3.12842470e-07 -5.14026195e-07 2.05229042e-07 2.36345989e-07 -3.42696317e-07 9.88787139e-08 7.41670865e-01 2.89261124e-01 -8.03313714e-01 -8.08792982e-01 4.24312818e-01 5.77222696e-01 -5.81174707e-01 4.20360807e-01
