#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
1.0000 1.11353958e-07 -2.02131749e-07 -2.15497035e-07 -3.12459548e-07 -2.20275879e-08 1.17833556e-07 -6.18734374e-07 -5.22928407e-07 5.96881727e-01 -1.69877196e-01 -5.54598713e-01 -4.92657599e-01 -4.57269507e-02 2.88331940e-01 -6.20251782e-01 -3.77646793e-01
1.0100 1.11216734e-07 -1.60766921e-07 -2.46913231e-07 -3.72042709e-07 2.15845444e-08 1.52442167e-07 -6.68506127e-07 -4.94479415e-07 5.96189582e-01 -1.35092834e-01 -6.35435322e-01 -5.86611914e-01 4.46774286e-02 3.73031832e-01 -7.60950488e-01 -3.43241227e-01
1.0200 1.12884280e-07 -8.44938210e-08 -2.77334747e-07 -4.27545804e-07 7.15223912e-08 1.82542186e-07 -6.76490092e-07 -4.22425515e-07 6.05156882e-01 -7.10045374e-02 -7.13714131e-01 -6.74135955e-01 1.48176862e-01 4.46699871e-01 -8.53697742e-01 -2.58821009e-01
1.0300 1.17213688e-07 9.93620995e-09 -3.04605192e-07 -4.74191747e-07 1.19715887e-07 2.05606901e-07 -6.51647041e-07 -3.26324253e-07 6.28365296e-01 8.31812870e-03 -7.83889515e-01 -7.47698189e-01 2.48048508e-01 5.03152671e-01 -8.94904280e-01 -1.43703101e-01
1.0400 1.23980639e-07 1.07133296e-07 -3.27142739e-07 -5.10340127e-07 1.60486126e-07 2.21846483e-07 -6.06368932e-07 -2.24036323e-07 6.64607193e-01 8.99529403e-02 -8.41891002e-01 -8.04710463e-01 3.32526344e-01 5.42903391e-01 -8.92041332e-01 -1.66115963e-02
1.0500 1.31889243e-07 1.95878284e-07 -3.43298625e-07 -5.35771755e-07 1.91033166e-07 2.32833987e-07 -5.51302852e-07 -1.27435699e-07 7.06940331e-01 1.64482329e-01 -8.83472727e-01 -8.44823679e-01 3.95811070e-01 5.69799746e-01 -8.56873746e-01 1.08737070e-01
1.0600 1.38965929e-07 2.69039000e-07 -3.51134010e-07 -5.50077583e-07 2.10712806e-07 2.39974656e-07 -4.93206664e-07 -4.25192021e-08 7.44798135e-01 2.25920744e-01 -9.03640549e-01 -8.67388719e-01 4.36570801e-01 5.87278762e-01 -8.00310389e-01 2.23539175e-01
1.0700 1.43193860e-07 3.21606188e-07 -3.48775209e-07 -5.51955013e-07 2.19687969e-07 2.43499759e-07 -4.35930174e-07 2.72575536e-08 7.67386633e-01 2.70063503e-01 -8.97568068e-01 -8.70348318e-01 4.55146190e-01 5.95905196e-01 -7.30466249e-01 3.20585137e-01
1.0800 1.43169671e-07 3.48659430e-07 -3.35192054e-07 -5.39686150e-07 2.17755094e-07 2.42358985e-07 -3.83049104e-07 7.70649753e-08 7.67199747e-01 2.92778038e-01 -8.62601413e-01 -8.50992340e-01 4.51118515e-01 5.93108593e-01 -6.53615968e-01 3.90611139e-01
1.0900 1.38565858e-07 3.44893541e-07 -3.11010407e-07 -5.12472638e-07 2.03988766e-07 2.34960597e-07 -3.40023646e-07 9.89257170e-08 7.42493116e-01 2.89606980e-01 -8.00351245e-01 -8.08063027e-01 4.22573321e-01 5.74994606e-01 -5.76314175e-01 4.21253752e-01
1.1000 1.30254842e-07 3.06324635e-07 -2.78918417e-07 -4.71885466e-07 1.77402862e-07 2.20343147e-07 -3.14224406e-07 8.35216026e-08 6.97946166e-01 2.57202630e-01 -7.17738338e-01 -7.44040776e-01 3.67470307e-01 5.39212093e-01 -5.06630318e-01 4.00052082e-01
