#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
1.0000 1.10821779e-07 -1.98238996e-07 -2.15214688e-07 -3.11259433e-07 -2.37069490e-08 1.17383388e-07 -6.13891337e-07 -5.20214898e-07 5.93859291e-01 -1.66536577e-01 -5.53790226e-01 -4.90706623e-01 -4.91444875e-02 2.87202692e-01 -6.17174136e-01 -3.79115931e-01
1.0100 1.10768123e-07 -1.54828747e-07 -2.46282097e-07 -3.71722434e-07 2.03212716e-08 1.53022032e-07 -6.62065156e-07 -4.88721852e-07 5.93574961e-01 -1.30056207e-01 -6.33719225e-01 -5.86028558e-01 4.20925774e-02 3.74399053e-01 -7.56229028e-01 -3.39737398e-01
1.0200 1.12522032e-07 -7.71784966e-08 -2.76272577e-07 -4.27919971e-07 7.06526854e-08 1.84085192e-07 -6.68849013e-07 -4.14111136e-07 6.02965435e-01 -6.48274386e-02 -7.10878255e-01 -6.74629472e-01 1.46379587e-01 4.50404984e-01 -8.47369731e-01 -2.50585160e-01
1.0300 1.16927371e-07 1.76479825e-08 -3.03111240e-07 -4.74926576e-07 1.19138558e-07 2.07870475e-07 -6.43462462e-07 -3.16453428e-07 6.26548734e-01 1.48196374e-02 -7.79931929e-01 -7.48746501e-01 2.46835306e-01 5.08610807e-01 -8.87310059e-01 -1.31863945e-01
1.0400 1.23750461e-07 1.14116279e-07 -3.25302232e-07 -5.11010496e-07 1.60059488e-07 2.24438141e-07 -5.98445988e-07 -2.13948359e-07 6.63074388e-01 9.58404890e-02 -8.37033219e-01 -8.05649516e-01 3.31612668e-01 5.49164045e-01 -8.83767857e-01 -2.99114415e-03
1.0500 1.31692078e-07 2.01076769e-07 -3.41266730e-07 -5.35943199e-07 1.90623265e-07 2.35276117e-07 -5.44441082e-07 -1.18541701e-07 7.05587627e-01 1.68872973e-01 -8.78119779e-01 -8.44976026e-01 3.94929268e-01 5.75702941e-01 -8.48635205e-01 1.21997003e-01
1.0600 1.38781762e-07 2.71679637e-07 -3.49102465e-07 -5.49394866e-07 2.10236705e-07 2.41797403e-07 -4.88035932e-07 -3.60018241e-08 7.43540153e-01 2.28165084e-01 -8.98295388e-01 -8.66202354e-01 4.35558055e-01 5.91680645e-01 -7.92792505e-01 2.34446194e-01
1.0700 1.43010975e-07 3.21358013e-07 -3.46930125e-07 -5.50215790e-07 2.19138494e-07 2.44340851e-07 -4.32776927e-07 3.07024183e-08 7.66179591e-01 2.69880972e-01 -8.92721836e-01 -8.67511900e-01 4.53994627e-01 5.97921560e-01 -7.24173173e-01 3.27743013e-01
1.0800 1.42987445e-07 3.45699143e-07 -3.33674344e-07 -5.36880890e-07 2.17199255e-07 2.42044272e-07 -3.81868646e-07 7.73748807e-08 7.66052352e-01 2.90313660e-01 -8.58629137e-01 -8.46497115e-01 4.49971366e-01 5.92312195e-01 -6.48760240e-01 3.93523321e-01
1.0900 1.38394735e-07 3.39856062e-07 -3.09889689e-07 -5.08780012e-07 2.03540372e-07 2.33541775e-07 -3.40418904e-07 9.66632430e-08 7.41463882e-01 2.85391970e-01 -7.97441512e-01 -8.02194539e-01 4.21668092e-01 5.71508439e-01 -5.72780199e-01 4.20396332e-01
1.1000 1.30113774e-07 3.00147816e-07 -2.78187294e-07 -4.67624000e-07 1.77178202e-07 2.18079562e-07 -3.15549705e-07 7.97080580e-08 6.97129401e-01 2.52025375e-01 -7.15875596e-01 -7.37301811e-01 3.67047045e-01 5.33666132e-01 -5.04022632e-01 3.96690544e-01
1.1100 1.19978549e-07 2.27169374e-07 -2.42966799e-07 -4.18169051e-07 1.38369103e-07 1.96483421e-07 -3.13987926e-07 2.08645984e-08 6.42866307e-01 1.90716204e-01 -6.25250936e-01 -6.59319336e-01 2.86639637e-01 4.80808111e-01 -4.50987761e-01 3.16459987e-01
1.1200 1.10255970e-07 1.28727269e-07 -2.09445873e-07 -3.67753203e-07 8.99490328e-08 1.71497196e-07 -3.38215836e-07 -7.67696075e-08 5.90809962e-01 1.08024705e-01 -5.38992939e-01 -5.79818846e-01 1.86321723e-01 4.19651631e-01 -4.19977117e-01 1.85996236e-01
1.1300 1.03021506e-07 2.07195581e-08 -1.82283258e-07 -3.24655377e-07 3.78972937e-08 1.47294532e-07 -3.83197571e-07 -1.98005745e-07 5.52071552e-01 1.73069767e-02 -4.69089728e-01 -5.11855531e-01 7.84813501e-02 3.60412721e-01 -4.11566731e-01 2.73273400e-02
1.1400 9.96238446e-08 -7.51934730e-08 -1.64282465e-07 -2.95808406e-07 -9.36077724e-09 1.28321838e-07 -4.35660500e-07 -3.16699439e-07 5.33872295e-01 -6.32426549e-02 -4.22756450e-01 -4.66361822e-01 -1.94261052e-02 3.13974188e-01 -4.18488632e-01 -1.23940549e-01
1.1500 1.00390790e-07 -1.36925911e-07 -1.55660593e-07 -2.84706540e-07 -4.28784639e-08 1.17912298e-07 -4.76902253e-07 -4.01868419e-07 5.37968896e-01 -1.15074687e-01 -4.00553613e-01 -4.48848082e-01 -8.88654196e-02 2.88493761e-01 -4.26507486e-01 -2.26879145e-01
1.1600 1.04643147e-07 -1.48706191e-07 -1.54167959e-07 -2.90318948e-07 -5.57671729e-08 1.17209120e-07 -4.88549950e-07 -4.27108003e-07 5.60727494e-01 -1.24945418e-01 -3.96694568e-01 -4.57689632e-01 -1.15565499e-01 2.86769270e-01 -4.18602124e-01 -2.47398353e-01
1.1700 1.10984316e-07 -1.06783832e-07 -1.56026635e-07 -3.07464998e-07 -4.55237122e-08 1.24817808e-07 -4.59291149e-07 -3.79997054e-07 5.94673417e-01 -8.97092884e-02 -4.01460097e-01 -4.84718574e-01 -9.43406748e-02 3.05388005e-01 -3.81214543e-01 -1.70167212e-01
1.1800 1.17753507e-07 -2.17920637e-08 -1.57344849e-07 -3.28565321e-07 -1.52111693e-08 1.37325299e-07 -3.89948726e-07 -2.67834597e-07 6.30916842e-01 -1.83019275e-02 -4.04837491e-01 -5.17984746e-01 -3.15369353e-02 3.35997372e-01 -3.10207323e-01 -5.74688590e-03
1.1900 1.23493374e-07 8.34627219e-08 -1.55482409e-07 -3.46166822e-07 2.70350791e-08 1.50492911e-07 -2.94693135e-07 -1.17165146e-07 6.61655699e-01 7.01178923e-02 -4.00033699e-01 -5.45736791e-01 5.59916066e-02 3.68224290e-01 -2.13996899e-01 2.10218997e-01
1.2000 1.27295809e-07 1.80371922e-07 -1.49861808e-07 -3.55348926e-07 7.01203463e-08 1.60679651e-07 -1.97543002e-07 3.32569957e-08 6.82026707e-01 1.51520222e-01 -3.85562363e-01 -5.60215896e-01 1.45260157e-01 3.93158142e-01 -1.12231331e-01 4.26186968e-01
