# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 113 12769
205000 91 8281
210000 105 11025
215000 105 11025
220000 107 11449
225000 106 11236
230000 96 9216
235000 105 11025
240000 112 12544
245000 112 12544
250000 112 12544
255000 118 13924
260000 108 11664
265000 103 10609
270000 100 10000
275000 91 8281
280000 110 12100
285000 105 11025
290000 103 10609
295000 98 9604
300000 110 12100
305000 114 12996
310000 116 13456
315000 121 14641
320000 114 12996
325000 97 9409
330000 109 11881
335000 117 13689
340000 106 11236
345000 104 10816
350000 107 11449
355000 103 10609
360000 99 9801
365000 94 8836
370000 115 13225
375000 110 12100
380000 118 13924
385000 117 13689
390000 131 17161
395000 117 13689
400000 120 14400
405000 122 14884
410000 106 11236
415000 107 11449
420000 96 9216
425000 103 10609
430000 100 10000
435000 116 13456
440000 110 12100
445000 108 11664
450000 110 12100
455000 111 12321
460000 113 12769
465000 106 11236
470000 106 11236
475000 107 11449
480000 113 12769
485000 120 14400
490000 108 11664
495000 123 15129
500000 124 15376
505000 111 12321
510000 130 16900
515000 115 13225
520000 116 13456
525000 116 13456
530000 106 11236
535000 104 10816
540000 116 13456
545000 121 14641
550000 120 14400
555000 106 11236
560000 111 12321
565000 101 10201
570000 104 10816
575000 108 11664
580000 109 11881
585000 104 10816
590000 113 12769
595000 113 12769
600000 96 9216
605000 93 8649
610000 105 11025
615000 107 11449
620000 106 11236
625000 127 16129
630000 103 10609
635000 99 9801
640000 103 10609
645000 116 13456
650000 101 10201
655000 123 15129
660000 99 9801
665000 102 10404
670000 105 11025
675000 100 10000
680000 102 10404
685000 107 11449
690000 117 13689
695000 126 15876
700000 109 11881
705000 99 9801
710000 105 11025
715000 91 8281
720000 93 8649
725000 106 11236
730000 114 12996
735000 111 12321
740000 120 14400
745000 109 11881
750000 105 11025
755000 110 12100
760000 108 11664
765000 116 13456
770000 103 10609
775000 102 10404
780000 106 11236
785000 110 12100
790000 111 12321
795000 106 11236
800000 120 14400
805000 109 11881
810000 108 11664
815000 106 11236
820000 102 10404
825000 99 9801
830000 124 15376
835000 112 12544
840000 116 13456
845000 102 10404
850000 111 12321
855000 103 10609
860000 106 11236
865000 103 10609
870000 104 10816
875000 98 9604
880000 112 12544
885000 101 10201
890000 119 14161
895000 121 14641
900000 107 11449
905000 106 11236
910000 117 13689
915000 110 12100
920000 116 13456
925000 105 11025
930000 107 11449
935000 106 11236
940000 108 11664
945000 114 12996
950000 109 11881
955000 127 16129
960000 124 15376
965000 116 13456
970000 103 10609
975000 89 7921
980000 119 14161
985000 112 12544
990000 105 11025
995000 102 10404
1000000 106 11236
