# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 51 2601
205000 53 2809
210000 53 2809
215000 57 3249
220000 59 3481
225000 55 3025
230000 51 2601
235000 51 2601
240000 56 3136
245000 50 2500
250000 61 3721
255000 55 3025
260000 46 2116
265000 56 3136
270000 50 2500
275000 48 2304
280000 51 2601
285000 47 2209
290000 56 3136
295000 56 3136
300000 52 2704
305000 62 3844
310000 58 3364
315000 51 2601
320000 52 2704
325000 50 2500
330000 50 2500
335000 45 2025
340000 56 3136
345000 63 3969
350000 49 2401
355000 50 2500
360000 49 2401
365000 57 3249
370000 54 2916
375000 65 4225
380000 57 3249
385000 56 3136
390000 51 2601
395000 51 2601
400000 52 2704
405000 55 3025
410000 62 3844
415000 58 3364
420000 63 3969
425000 52 2704
430000 55 3025
435000 58 3364
440000 68 4624
445000 70 4900
450000 49 2401
455000 51 2601
460000 67 4489
465000 58 3364
470000 53 2809
475000 58 3364
480000 54 2916
485000 54 2916
490000 58 3364
495000 55 3025
500000 50 2500
505000 55 3025
510000 54 2916
515000 54 2916
520000 51 2601
525000 54 2916
530000 64 4096
535000 57 3249
540000 55 3025
545000 53 2809
550000 60 3600
555000 57 3249
560000 60 3600
565000 55 3025
570000 55 3025
575000 54 2916
580000 55 3025
585000 52 2704
590000 59 3481
595000 64 4096
600000 56 3136
605000 56 3136
610000 53 2809
615000 46 2116
620000 58 3364
625000 59 3481
630000 55 3025
635000 59 3481
640000 61 3721
645000 55 3025
650000 56 3136
655000 57 3249
660000 52 2704
665000 54 2916
670000 55 3025
675000 62 3844
680000 55 3025
685000 56 3136
690000 52 2704
695000 57 3249
700000 54 2916
705000 56 3136
710000 62 3844
715000 50 2500
720000 52 2704
725000 44 1936
730000 52 2704
735000 53 2809
740000 59 3481
745000 56 3136
750000 56 3136
755000 56 3136
760000 53 2809
765000 60 3600
770000 58 3364
775000 75 5625
780000 52 2704
785000 53 2809
790000 59 3481
795000 50 2500
800000 49 2401
805000 53 2809
810000 55 3025
815000 57 3249
820000 49 2401
825000 59 3481
830000 60 3600
835000 56 3136
840000 48 2304
845000 54 2916
850000 61 3721
855000 59 3481
860000 49 2401
865000 60 3600
870000 71 5041
875000 70 4900
880000 58 3364
885000 52 2704
890000 55 3025
895000 51 2601
900000 54 2916
905000 38 1444
910000 52 2704
915000 60 3600
920000 61 3721
925000 55 3025
930000 63 3969
935000 55 3025
940000 65 4225
945000 53 2809
950000 51 2601
955000 55 3025
960000 60 3600
965000 58 3364
970000 58 3364
975000 57 3249
980000 64 4096
985000 52 2704
990000 53 2809
995000 56 3136
1000000 62 3844
