#mu	PbyP0	Navg	Uptake[mmol/g]
-15.00	1.0258318572e-03	35.6398	0.3618742162
-15.05	9.5952767230e-04	34.472	0.3500167785
-15.10	8.9750902888e-04	32.4783	0.3297734375
-15.15	8.3949893283e-04	31.8758	0.3236558606
-15.20	7.8523829348e-04	31.4845	0.3196827356
-15.25	7.3448476637e-04	29.8385	0.3029698203
-15.30	6.8701167087e-04	29.1304	0.2957800175
-15.35	6.4260697773e-04	28.3975	0.2883384041
-15.40	6.0107236215e-04	27.8571	0.2828513692
-15.45	5.6222231793e-04	26.5093	0.2691662737
-15.50	5.2588332900e-04	25.5155	0.2590755718
-15.55	4.9189309442e-04	25.2547	0.2564274987
-15.60	4.6009980351e-04	24.3789	0.2475349281
-15.65	4.3036145778e-04	23.2733	0.2363090477
-15.70	4.0254523677e-04	22.5466	0.2289303869
-15.75	3.7652690481e-04	21.7143	0.2204795003
-15.80	3.5219025615e-04	20.9938	0.2131637922
-15.85	3.2942659592e-04	20.528	0.2084342199
-15.90	3.0813425472e-04	18.8323	0.1912166680
-15.95	2.8821813450e-04	19.528	0.1982805654
-16.00	2.6958928384e-04	18.7578	0.1904602207
-16.05	2.5216450064e-04	18.2298	0.1850990911
-16.10	2.3586596054e-04	17.1118	0.1737473054
-16.15	2.2062086931e-04	16.528	0.1678196019
-16.20	2.0636113775e-04	16.559	0.1681343651
-16.25	1.9302307759e-04	15.0807	0.1531242177
-16.30	1.8054711700e-04	15.087	0.1531881857
-16.35	1.6887753457e-04	14.2981	0.1451779676
-16.40	1.5796221039e-04	14.4037	0.1462501936
-16.45	1.4775239333e-04	13.5155	0.1372317176
-16.50	1.3820248324e-04	12.9938	0.1319345561
-16.55	1.2926982734e-04	12.0807	0.1226632541
-16.60	1.2091452966e-04	11.913	0.1209604863
-16.65	1.1309927293e-04	11.236	0.1140864622
-16.70	1.0578915184e-04	11.1429	0.1131411569
-16.75	9.8951517160e-05	10.9565	0.1112485157
-16.80	9.2555829952e-05	10.472	0.1063290701
-16.85	8.6573525136e-05	9.88199	0.1003383124
-16.90	8.0977883926e-05	9.95652	0.1010950643
-16.95	7.5743914492e-05	9.21739	0.0935901936
-17.00	7.0848240339e-05	9.20497	0.0934640852
