# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 26 676
205000 23 529
210000 24 576
215000 35 1225
220000 26 676
225000 35 1225
230000 37 1369
235000 33 1089
240000 27 729
245000 28 784
250000 32 1024
255000 39 1521
260000 29 841
265000 30 900
270000 31 961
275000 34 1156
280000 39 1521
285000 36 1296
290000 38 1444
295000 35 1225
300000 39 1521
305000 31 961
310000 33 1089
315000 34 1156
320000 42 1764
325000 32 1024
330000 33 1089
335000 34 1156
340000 31 961
345000 24 576
350000 29 841
355000 35 1225
360000 30 900
365000 29 841
370000 30 900
375000 32 1024
380000 31 961
385000 25 625
390000 37 1369
395000 29 841
400000 31 961
405000 32 1024
410000 37 1369
415000 33 1089
420000 32 1024
425000 32 1024
430000 30 900
435000 27 729
440000 29 841
445000 22 484
450000 34 1156
455000 33 1089
460000 40 1600
465000 33 1089
470000 34 1156
475000 37 1369
480000 33 1089
485000 34 1156
490000 33 1089
495000 28 784
500000 40 1600
505000 33 1089
510000 33 1089
515000 33 1089
520000 34 1156
525000 30 900
530000 31 961
535000 30 900
540000 31 961
545000 29 841
550000 37 1369
555000 30 900
560000 29 841
565000 29 841
570000 33 1089
575000 28 784
580000 31 961
585000 27 729
590000 31 961
595000 28 784
600000 27 729
605000 30 900
610000 31 961
615000 29 841
620000 27 729
625000 34 1156
630000 29 841
635000 32 1024
640000 29 841
645000 25 625
650000 32 1024
655000 36 1296
660000 28 784
665000 30 900
670000 25 625
675000 29 841
680000 31 961
685000 33 1089
690000 35 1225
695000 35 1225
700000 29 841
705000 31 961
710000 33 1089
715000 38 1444
720000 32 1024
725000 33 1089
730000 38 1444
735000 31 961
740000 30 900
745000 33 1089
750000 33 1089
755000 33 1089
760000 29 841
765000 27 729
770000 36 1296
775000 33 1089
780000 29 841
785000 33 1089
790000 35 1225
795000 36 1296
800000 29 841
805000 30 900
810000 31 961
815000 37 1369
820000 32 1024
825000 27 729
830000 29 841
835000 33 1089
840000 38 1444
845000 32 1024
850000 36 1296
855000 37 1369
860000 30 900
865000 37 1369
870000 31 961
875000 34 1156
880000 33 1089
885000 31 961
890000 35 1225
895000 31 961
900000 37 1369
905000 31 961
910000 31 961
915000 32 1024
920000 38 1444
925000 35 1225
930000 38 1444
935000 30 900
940000 28 784
945000 27 729
950000 37 1369
955000 26 676
960000 25 625
965000 31 961
970000 25 625
975000 29 841
980000 30 900
985000 39 1521
990000 36 1296
995000 34 1156
1000000 33 1089
