# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 991 982081
205000 1008 1.01606e+06
210000 972 944784
215000 953 908209
220000 950 902500
225000 952 906304
230000 971 942841
235000 976 952576
240000 942 887364
245000 947 896809
250000 956 913936
255000 952 906304
260000 953 908209
265000 955 912025
270000 990 980100
275000 969 938961
280000 982 964324
285000 984 968256
290000 969 938961
295000 995 990025
300000 986 972196
305000 981 962361
310000 991 982081
315000 1011 1.02212e+06
320000 986 972196
325000 988 976144
330000 1002 1.004e+06
335000 1000 1e+06
340000 1015 1.03022e+06
345000 1014 1.0282e+06
350000 1013 1.02617e+06
355000 994 988036
360000 985 970225
365000 1015 1.03022e+06
370000 1008 1.01606e+06
375000 1011 1.02212e+06
380000 1007 1.01405e+06
385000 1016 1.03226e+06
390000 992 984064
395000 1017 1.03429e+06
400000 984 968256
405000 966 933156
410000 983 966289
415000 976 952576
420000 959 919681
425000 966 933156
430000 975 950625
435000 988 976144
440000 989 978121
445000 985 970225
450000 987 974169
455000 989 978121
460000 991 982081
465000 1017 1.03429e+06
470000 1005 1.01002e+06
475000 987 974169
480000 1001 1.002e+06
485000 989 978121
490000 1007 1.01405e+06
495000 994 988036
500000 988 976144
505000 1008 1.01606e+06
510000 1009 1.01808e+06
515000 1021 1.04244e+06
520000 1018 1.03632e+06
525000 976 952576
530000 969 938961
535000 962 925444
540000 959 919681
545000 985 970225
550000 978 956484
555000 963 927369
560000 960 921600
565000 936 876096
570000 937 877969
575000 954 910116
580000 955 912025
585000 957 915849
590000 948 898704
595000 969 938961
600000 948 898704
605000 946 894916
610000 964 929296
615000 960 921600
620000 946 894916
625000 949 900601
630000 952 906304
635000 958 917764
640000 984 968256
645000 986 972196
650000 979 958441
655000 979 958441
660000 970 940900
665000 973 946729
670000 960 921600
675000 955 912025
680000 960 921600
685000 978 956484
690000 955 912025
695000 989 978121
700000 995 990025
705000 1005 1.01002e+06
710000 977 954529
715000 987 974169
720000 991 982081
725000 983 966289
730000 973 946729
735000 967 935089
740000 987 974169
745000 990 980100
750000 972 944784
755000 979 958441
760000 987 974169
765000 973 946729
770000 983 966289
775000 993 986049
780000 997 994009
785000 992 984064
790000 979 958441
795000 1015 1.03022e+06
800000 997 994009
805000 994 988036
810000 1025 1.05062e+06
815000 1012 1.02414e+06
820000 1018 1.03632e+06
825000 1000 1e+06
830000 1013 1.02617e+06
835000 995 990025
840000 1046 1.09412e+06
845000 1032 1.06502e+06
850000 1025 1.05062e+06
855000 1050 1.1025e+06
860000 1027 1.05473e+06
865000 1004 1.00802e+06
870000 987 974169
875000 1007 1.01405e+06
880000 972 944784
885000 991 982081
890000 951 904401
895000 959 919681
900000 976 952576
905000 942 887364
910000 952 906304
915000 946 894916
920000 964 929296
925000 969 938961
930000 966 933156
935000 967 935089
940000 961 923521
945000 982 964324
950000 959 919681
955000 967 935089
960000 971 942841
965000 982 964324
970000 978 956484
975000 970 940900
980000 970 940900
985000 963 927369
990000 972 944784
995000 981 962361
1000000 982 964324
