# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 55 3025
205000 50 2500
210000 45 2025
215000 48 2304
220000 47 2209
225000 50 2500
230000 46 2116
235000 50 2500
240000 48 2304
245000 47 2209
250000 49 2401
255000 53 2809
260000 53 2809
265000 50 2500
270000 48 2304
275000 44 1936
280000 46 2116
285000 54 2916
290000 51 2601
295000 49 2401
300000 55 3025
305000 51 2601
310000 45 2025
315000 45 2025
320000 49 2401
325000 52 2704
330000 54 2916
335000 56 3136
340000 42 1764
345000 51 2601
350000 39 1521
355000 49 2401
360000 56 3136
365000 50 2500
370000 53 2809
375000 59 3481
380000 47 2209
385000 48 2304
390000 46 2116
395000 47 2209
400000 65 4225
405000 54 2916
410000 59 3481
415000 54 2916
420000 52 2704
425000 53 2809
430000 46 2116
435000 49 2401
440000 53 2809
445000 48 2304
450000 51 2601
455000 39 1521
460000 58 3364
465000 50 2500
470000 47 2209
475000 47 2209
480000 42 1764
485000 46 2116
490000 45 2025
495000 56 3136
500000 47 2209
505000 53 2809
510000 48 2304
515000 51 2601
520000 43 1849
525000 40 1600
530000 57 3249
535000 57 3249
540000 53 2809
545000 52 2704
550000 50 2500
555000 49 2401
560000 49 2401
565000 49 2401
570000 47 2209
575000 47 2209
580000 47 2209
585000 48 2304
590000 50 2500
595000 54 2916
600000 45 2025
605000 52 2704
610000 48 2304
615000 48 2304
620000 50 2500
625000 52 2704
630000 50 2500
635000 52 2704
640000 51 2601
645000 62 3844
650000 37 1369
655000 49 2401
660000 48 2304
665000 53 2809
670000 48 2304
675000 53 2809
680000 50 2500
685000 52 2704
690000 46 2116
695000 55 3025
700000 52 2704
705000 47 2209
710000 47 2209
715000 47 2209
720000 50 2500
725000 61 3721
730000 60 3600
735000 52 2704
740000 52 2704
745000 56 3136
750000 59 3481
755000 53 2809
760000 61 3721
765000 53 2809
770000 52 2704
775000 51 2601
780000 50 2500
785000 57 3249
790000 57 3249
795000 51 2601
800000 40 1600
805000 55 3025
810000 51 2601
815000 47 2209
820000 51 2601
825000 46 2116
830000 45 2025
835000 47 2209
840000 54 2916
845000 41 1681
850000 44 1936
855000 41 1681
860000 54 2916
865000 51 2601
870000 49 2401
875000 48 2304
880000 45 2025
885000 51 2601
890000 51 2601
895000 54 2916
900000 53 2809
905000 54 2916
910000 45 2025
915000 43 1849
920000 45 2025
925000 55 3025
930000 38 1444
935000 53 2809
940000 52 2704
945000 43 1849
950000 39 1521
955000 48 2304
960000 51 2601
965000 48 2304
970000 40 1600
975000 45 2025
980000 54 2916
985000 52 2704
990000 48 2304
995000 50 2500
1000000 42 1764
